Creature,MONSTER,,,,,,,,,,,,,
Index,3882,,,,,,,,,,,,,
Skeleton,Monster\lizard_03.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\lizard_03\lizard_03_stand.anim,4,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\lizard_03\lizard_03_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\lizard_03\lizard_03_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\lizard_03\lizard_03_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\lizard_03\lizard_03_att02.anim,4,1,1.3,0,0,0.65,0,1,0,269,0
0,ATTACK,1,Monster\lizard_03\lizard_03_att01.anim,4,1,1,0,0,0.55,0,1,0,268,0
0,ATTACK,2,Monster\lizard_03\lizard_03_att02.anim,4,1,1.3,0,0,0.65,0,1,0,269,0
0,BLOCKING,0,Monster\lizard_03\lizard_03_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\lizard_03\lizard_03_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\lizard_03\lizard_03_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\lizard_03\lizard_03_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\lizard_03\lizard_03_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\lizard_03\lizard_03_4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\lizard_03\lizard_03_die.anim,4,1,1.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\lizard_03\lizard_03_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\lizard_03\lizard_03_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\lizard_03\lizard_03_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
