Creature,MONSTER,,,,,,,,,,,,,
Index,3881,,,,,,,,,,,,,
Skeleton,Monster\lizardman_shaman.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\lizardman_shaman\lizardman_shaman_stand.anim,4,1,2.5,0,0,0,0,0,0,0,0
0,STAND,1,Monster\lizardman_shaman\lizardman_shaman_cstand.anim,4,1,1.33,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\lizardman_shaman\lizardman_shaman_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\lizardman_shaman\lizardman_shaman_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\lizardman_shaman\lizardman_shaman_att1.anim,4,1,1.33,0,0,0.7,0,1,0,257,0
0,ATTACK,5,Monster\lizardman_shaman\lizardman_shaman_att2.anim,4,1,1.6,0,0,0.75,0,1,0,258,0
0,ATTACK,6,Monster\lizardman_shaman\lizardman_shaman_att2.anim,4,1,1.6,0,0,0.75,0,1,0,258,0
0,BLOCKING,0,Monster\lizardman_shaman\lizardman_shaman_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\lizardman_shaman\lizardman_shaman_p1.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\lizardman_shaman\lizardman_shaman_p2.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\lizardman_shaman\lizardman_shaman_p3.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\lizardman_shaman\lizardman_shaman_p4.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\lizardman_shaman\lizardman_shaman_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\lizardman_shaman\lizardman_shaman_guard1.anim,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\lizardman_shaman\lizardman_shaman_guard2.anim,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\lizardman_shaman\lizardman_shaman_guard3.anim,10,1,1,0,0,0,0,0,0,0,0
