Creature,MONSTER,,,,,,,,,,,,,
Index,3945,,,,,,,,,,,,,
Skeleton,Monster\Lizardman_G_Shaman.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_stand.anim,4,1,2.5,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_cstand.anim,4,1,1.33,0,0,0,0,0,0,0,0
0,REVIVE,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_att2.anim,4,1,2.3,0,0,0.95,0,1,0,582,0
0,MOVE,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_walk.anim,4,1,1.3,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_crun.anim,4,1,2.4,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_att1.anim,4,1,1.6,0,0,0.6,0,1,0,581,0
0,ATTACK,9,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_att2.anim,4,1,2.3,0,0,0.95,0,1,0,582,0
0,BLOCKING,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\Lizardman_G_Shaman\Lizardman_G_Shaman_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
