Creature,MONSTER,,,,,,,,,,,,,
Index,3171,,,,,,,,,,,,,
Skeleton,Monster\magimata.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Magimata\magimata_stand.anim,1,1,1,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Magimata\magimata_cstand.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,REVIVE,0,Monster\Magimata\magimata_att3.anim,4,1,2.2,0,0,0.85,0,1,0,287,0
0,MOVE,0,Monster\Magimata\magimata_walk.anim,1,1,1.4,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Magimata\magimata_crun.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\Magimata\magimata_att1.anim,4,1,1.2,0,0,0.65,0,1,0,285,0
0,ATTACK,2,Monster\Magimata\magimata_att2.anim,4,1,2.2,0,0,0.75,0,1,0,286,0
0,ATTACK,9,Monster\Magimata\magimata_att3.anim,4,1,2.2,0,0,0.85,0,1,0,287,0
0,BLOCKING,0,Monster\Magimata\magimata_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Magimata\magimata_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Magimata\magimata_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Magimata\magimata_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Magimata\magimata_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Magimata\magimata_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Magimata\magimata_die.anim,4,1,2.5,0,0,0.1,1,0,0,284,0
0,GUARDING,0,monster\Magimata\magimata_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Magimata\magimata_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Magimata\magimata_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
