Creature,MONSTER,,,,,,,,,,,
Index,1003,,,,,,,,,,,
Skeleton,Monster\mantis.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\mantis\mantis_stand.anim,1,1,3,0,0,0,0,0,0
0,STAND,1,Monster\mantis\mantis_cstand.anim,2,1,1.2,0,0,0,0,0,0
0,REVIVE,0,,1,1,3,0,0,0,0,0,0
0,MOVE,0,Monster\mantis\mantis_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\mantis\mantis_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\mantis\mantis_att1.anim,4,1,1.5,0,0,0.22,0,1,0
0,ATTACK,1,Monster\mantis\mantis_att1.anim,4,1,1.5,0,0,0.22,0,1,0
0,ATTACK,2,Monster\mantis\mantis_att1.anim,4,1,1.5,0,0,0.22,0,1,0
0,BLOCKING,0,Monster\mantis\mantis_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\mantis\mantis_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\mantis\mantis_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\mantis\mantis_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\mantis\mantis_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\mantis\mantis_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\mantis\mantis_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,monster\mantis\mantis_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\mantis\mantis_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\mantis\mantis_guard3.anim,10,1,1,0,0,0,0,0,0
