Creature,MONSTER,,,,,,,,,,,,,
Index,2751,,,,,,,,,,,,,
Skeleton,Monster\mebsuta.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\mebsuta\mebsuta_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\mebsuta\mebsuta_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,Monster\mebsuta\mebsuta_stand.anim,4,1,0.1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\mebsuta\mebsuta_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\mebsuta\mebsuta_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\mebsuta\mebsuta_att1.anim,4,1,1.33,0,0,0.6,0,1,0,9,1300
0,ATTACK,1,Monster\mebsuta\mebsuta_att1.anim,4,1,1.33,0,0,0.6,0,1,0,9,1300
0,ATTACK,2,Monster\mebsuta\mebsuta_att2.anim,4,1,2,0,0,0.7,0,1,0,10,2000
0,ATTACK,7,Monster\mebsuta\mebsuta_cstand.anim,4,1,0.5,0,0,0.5,0,1,0,10,2000
0,BLOCKING,0,Monster\mebsuta\mebsuta_blocked.anim,10,1,0.5,0,0,0,0,0,0,17,2000
0,BLOCKED,0,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\mebsuta\mebsuta_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\mebsuta\mebsuta_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\mebsuta\mebsuta_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\mebsuta\mebsuta_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\mebsuta\mebsuta_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\mebsuta\mebsuta_die.anim,4,1,3.33,0,0,0.1,1,0,0,11,0
0,GUARDING,0,Monster\mebsuta\mebsuta_p4.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\mebsuta\mebsuta_p4.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\mebsuta\mebsuta_p4.anim,10,1,0.4,0,0,0,0,0,0,0,0
