Creature,MONSTER,,,,,,,,,,,
Index,802,,,,,,,,,,,
Skeleton,Monster\morpha.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\morpha\morpha_stand.anim,4,1,0.4,0,0,0,0,0,0
0,STAND,1,Monster\morpha\morpha_cstand.anim,4,1,1.6,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\morpha\morpha_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\morpha\morpha_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\morpha\morpha_attack.anim,4,1,0.8,0,0,0.71,0,1,0
0,ATTACK,1,Monster\morpha\morpha_attack.anim,4,1,0.8,0,0,0.71,0,1,0
0,ATTACK,2,Monster\morpha\morpha_attack.anim,4,1,0.8,0,0,0.71,0,1,0
0,BLOCKING,0,Monster\morpha\morpha_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\morpha\morpha_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\morpha\morpha_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\morpha\morpha_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\morpha\morpha_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\morpha\morpha_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\morpha\morpha_dead.anim,4,1,1,0,0,0.1,1,0,0
0,GUARDING,0,Monster\morpha\morpha_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\morpha\morpha_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\morpha\morpha_blocking.anim,10,1,1,0,0,0,0,0,0
