Creature,MONSTER,,,,,,,,,,,
Index,303,,,,,,,,,,,
Skeleton,Monster\myria.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\myria\myria_stand.anim,1,1,3,0,0,0,0,0,0
0,STAND,1,Monster\myria\myria_cstand.anim,1,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\myria\myria_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\myria\myria_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\myria\myria_att1.anim,4,1,1.5,0,0,0.3,0,1,0
0,ATTACK,1,Monster\myria\myria_att1.anim,4,1,1.5,0,0,0.3,0,1,0
0,ATTACK,2,Monster\myria\myria_att1.anim,4,1,1.5,0,0,0.3,0,1,0
0,BLOCKING,0,Monster\myria\myria_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\myria\myria_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\myria\myria_p1.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,1,Monster\myria\myria_p2.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,2,Monster\myria\myria_p3.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,3,Monster\myria\myria_p4.anim,5,1,0.66,0,0,0,0,0,0
0,DEAD,0,Monster\myria\myria_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,monster\myria\myria_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\myria\myria_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\myria\myria_guard3.anim,10,1,1,0,0,0,0,0,0
