Creature,MONSTER,,,,,,,,,,,
Index,2031,,,,,,,,,,,
Skeleton,Monster\nihillis.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\nihillis\nihillis_stand.anim,1,1,1.2,0,0,0,0,0,0
0,STAND,1,Monster\nihillis\nihillis_cstand.anim,1,1,1.2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\nihillis\nihillis_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\nihillis\nihillis_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\nihillis\nihillis_att01.anim,4,1,1.2,0,0,0.53,0,0.66,0
0,ATTACK,1,Monster\nihillis\nihillis_att02.anim,4,1,1.2,0,0,0.46,0,0.66,0
0,BLOCKING,0,Monster\nihillis\nihillis_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\nihillis\nihillis_BLOCKED.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\nihillis\nihillis_p1.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,1,Monster\nihillis\nihillis_p2.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,2,Monster\nihillis\nihillis_p3.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,3,Monster\nihillis\nihillis_p4.anim,5,1,0.66,0,0,0,0,0,0
0,DEAD,0,Monster\nihillis\nihillis_die.anim,4,1,1.2,0,0,0.1,1,0,0
0,GUARDING,0,monster\nihillis\nihillis_guard1.anim,10,1,0.66,0,0,0,0,0,0
0,GUARDING,1,monster\nihillis\nihillis_guard2.anim,10,1,0.66,0,0,0,0,0,0
0,GUARDING,2,monster\nihillis\nihillis_guard3.anim,10,1,0.66,0,0,0,0,0,0
