Creature,MONSTER,,,,,,,,,,,,,
Index,3131,,,,,,,,,,,,,
Skeleton,Monster\Orob_Calf.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Orob_Calf\Orob_Calf_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Orob_Calf\Orob_Calf_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Orob_Calf\Orob_Calf_walk.anim,1,1,1.3,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Orob_Calf\Orob_Calf_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Orob_Calf\Orob_Calf_att01.anim,4,1,1.3,0,0,0.83,0,1,0,0,0
0,BLOCKING,0,Monster\Orob_Calf\Orob_Calf_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Orob_Calf\Orob_Calf_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Orob_Calf\Orob_Calf_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Orob_Calf\Orob_Calf_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Orob_Calf\Orob_Calf_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Orob_Calf\Orob_Calf_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Orob_Calf\Orob_Calf_die.anim,4,1,1.6,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Orob_Calf\Orob_Calf_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Orob_Calf\Orob_Calf_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Orob_Calf\Orob_Calf_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
