Creature,MONSTER,,,,,,,,,,,,,
Index,3500,,,,,,,,,,,,,
Skeleton,Monster\suho.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\suho\suho.anim,1,1,3,0,0,0,0,0,0,0,0
0,STAND,1,Monster\suho\suho.anim,1,1,3,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\suho\suho.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\suho\suho.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\suho\suho.anim,4,1,0.5,0,0,0.66,0,1,0,320,0
0,BLOCKING,0,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\suho\suho.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\suho\suho.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\suho\suho.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\suho\suho.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\suho\suho_die.anim,4,1,3,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\suho\suho.anim,10,1,1,0,0,0,0,0,0,0,0
