Creature,MONSTER,,,,,,,,,,,,,
Index,2285,,,,,,,,,,,,,
Skeleton,Monster\Raina.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Raina\Raina_stand.anim,1,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Raina\Raina_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Raina\Raina_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Raina\Raina_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Raina\Raina_att01.anim,4,1,1.11,0,0,0.75,0,1,0,156,0
0,ATTACK,5,Monster\Raina\Raina_att02.anim,4,1,1.9,0,0,0.6,0,1,0,157,0
0,ATTACK,6,Monster\Raina\Raina_att03.anim,4,1,1.4,0,0,0.5,0,1,0,152,0
0,BLOCKING,0,Monster\Raina\Raina_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Raina\Raina_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Raina\Raina_p_01.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Raina\Raina_p_02.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Raina\Raina_p_03.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Raina\Raina_p_04.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Raina\Raina_die.anim,4,1,1.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Raina\Raina_guard_01.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Raina\Raina_guard_02.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Raina\Raina_guard_03.anim,10,1,0.5,0,0,0,0,0,0,0,0
