Creature,MONSTER,,,,,,,,,,,
Index,1701,,,,,,,,,,,
Skeleton,Monster\Rasputin_knight.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\Rasputin_knight\Rasputin_knight_stand.anim,4,1,6,0,0,0,0,0,0
0,STAND,1,Monster\Rasputin_knight\Rasputin_knight_cstand.anim,4,1,1.66,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\Rasputin_knight\Rasputin_knight_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\Rasputin_knight\Rasputin_knight_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\Rasputin_knight\Rasputin_knight_att01.anim,4,1,1.4,0,0,0.3,0,1,0
0,ATTACK,1,Monster\Rasputin_knight\Rasputin_knight_att01.anim,4,1,1.4,0,0,0.3,0,1,0
0,ATTACK,2,Monster\Rasputin_knight\Rasputin_knight_att01.anim,4,1,1.4,0,0,0.3,0,1,0
0,BLOCKING,0,Monster\Rasputin_knight\Rasputin_knight_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\Rasputin_knight\Rasputin_knight_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\Rasputin_knight\Rasputin_knight_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\Rasputin_knight\Rasputin_knight_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\Rasputin_knight\Rasputin_knight_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\Rasputin_knight\Rasputin_knight_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\Rasputin_knight\Rasputin_knight_die.anim,4,1,1.766,0,0,0.1,1,0,0
0,GUARDING,0,Monster\Rasputin_knight\Rasputin_knight_guard1.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,1,Monster\Rasputin_knight\Rasputin_knight_guard2.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,2,Monster\Rasputin_knight\Rasputin_knight_guard3.anim,10,1,0.4,0,0,0,0,0,0
