Creature,MONSTER,,,,,,,,,,,,,
Index,1915,,,,,,,,,,,,,
Skeleton,Monster\saiph.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\saiph\saiph_stand.anim,4,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\saiph\saiph_cstand.anim,4,1,1.33,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\saiph\saiph_walk.anim,4,1,1,0,0,0,0,0,0,30,1000
0,MOVE,1,Monster\saiph\saiph_crun.anim,4,1,1,0,0,0,0,0,0,30,1000
0,ATTACK,0,Monster\saiph\saiph_att01.anim,4,1,1.3,0,0,0.53,0,1,0,19,1300
0,ATTACK,1,Monster\saiph\saiph_att01.anim,4,1,1.3,0,0,0.53,0,1,0,19,1300
0,ATTACK,2,Monster\saiph\saiph_att02.anim,4,1,1.5,0,0,0.66,0,1,0,20,1500
0,ATTACK,3,Monster\saiph\saiph_att01.anim,4,1,1.3,0,0,0.53,0,1,0,20,1500
0,ATTACK,4,Monster\saiph\saiph_att01.anim,4,1,1.3,0,0,0.53,0,1,0,20,1500
0,ATTACK,5,Monster\saiph\saiph_att02.anim,4,1,1.5,0,0,0.66,0,1,0,20,1500
0,BLOCKING,0,Monster\saiph\saiph_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\saiph\saiph_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\saiph\saiph_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\saiph\saiph_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\saiph\saiph_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\saiph\saiph_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\saiph\saiph_die.anim,4,1,1.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\saiph\saiph_guard1.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\saiph\saiph_guard2.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\saiph\saiph_guard3.anim,10,1,0.4,0,0,0,0,0,0,0,0
