Creature,MONSTER,,,,,,,,,,,,,
Index,2506,,,,,,,,,,,,,
Skeleton,Monster\sao.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,SM_STAND,0,Monster\sao\sao_stand.anim,1,1,1.5,0,0,0,0,0,0,0,0
0,SM_STAND,1,Monster\sao\sao_cstand.anim,1,1,1.2,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,SM_MOVE,0,Monster\sao\sao_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,SM_MOVE,1,Monster\sao\sao_crun.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\sao\sao_att01.anim,4,1,1.2,0,0,0.53,0,1,0,0,0
0,BLOCKING,0,Monster\sao\sao_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\sao\sao_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\sao\sao_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\sao\sao_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\sao\sao_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\sao\sao_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,SM_DEAD,0,Monster\sao\sao_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,SM_DEAD,10,Monster\sao\sao_die2.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\sao\sao_guard.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\sao\sao_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\sao\sao_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
