Creature,MONSTER,,,,,,,,,,,
Index,2614,,,,,,,,,,,
Skeleton,Monster\hell_sasquachi.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\hell_sasquachi\hell_sasquachi_stand.anim,1,1,6.33,0,0,0,0,0,0
0,STAND,1,Monster\hell_sasquachi\hell_sasquachi_cstand.anim,1,1,1.5,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\hell_sasquachi\hell_sasquachi_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\hell_sasquachi\hell_sasquachi_cwalk.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\hell_sasquachi\hell_sasquachi_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,1,Monster\hell_sasquachi\hell_sasquachi_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,ATTACK,2,Monster\hell_sasquachi\hell_sasquachi_att1.anim,4,1,1.4,0,0,0.6,0,1,0
0,BLOCKING,0,Monster\hell_sasquachi\hell_sasquachi_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\hell_sasquachi\hell_sasquachi_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\hell_sasquachi\hell_sasquachi_p1.anim,5,1,0.53,0,0,0,0,0,0
0,DEFEAT,1,Monster\hell_sasquachi\hell_sasquachi_p2.anim,5,1,0.53,0,0,0,0,0,0
0,DEFEAT,2,Monster\hell_sasquachi\hell_sasquachi_p3.anim,5,1,0.53,0,0,0,0,0,0
0,DEFEAT,3,Monster\hell_sasquachi\hell_sasquachi_p4.anim,5,1,0.53,0,0,0,0,0,0
0,DEAD,0,Monster\hell_sasquachi\hell_sasquachi_die.anim,4,1,2.7,0,0,0.1,1,0,0
0,GUARDING,0,monster\hell_sasquachi\hell_sasquachi_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\hell_sasquachi\hell_sasquachi_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\hell_sasquachi\hell_sasquachi_guard3.anim,10,1,1,0,0,0,0,0,0
