Creature,MONSTER,,,,,,,,,,,,,
Index,3275,,,,,,,,,,,,,
Skeleton,Monster\Serpens_Buttocks.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\Serpens\shurani_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Monster\Serpens\caput_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\Serpens\caput_walk.anim,1,1,1.33,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\Serpens\caput_run.anim,1,1,1.33,0,0,0,0,0,0,0,0
0,ATTACK,4,Monster\Serpens\caude_att01.anim,4,1,1.16,0,0,0.57,0,1,0,297,0
0,ATTACK,5,Monster\Serpens\caude_att02.anim,4,1,1.83,0,0,0.36,0,1,0,298,0
0,ATTACK,6,Monster\Serpens\caude_att03.anim,4,1,2.16,0,0,0.64,0,1,0,299,0
0,BLOCKING,0,Monster\Serpens\caput_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\Serpens\caput_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\Serpens\caput_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\Serpens\caput_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\Serpens\caput_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\Serpens\caput_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\Serpens\caput_die.anim,4,1,1.9,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\Serpens\caput_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\Serpens\caput_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\Serpens\caput_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
