Creature,MONSTER,,,,,,,,,,,,,
Index,2508,,,,,,,,,,,,,
Skeleton,Monster\shurani.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,SM_STAND,0,Monster\shurani\shurani_stand.anim,1,1,4,0,0,0,0,0,0,0,0
0,SM_STAND,1,Monster\shurani\shurani_cstand.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,SM_MOVE,0,Monster\shurani\shurani_walk.anim,1,1,1,0,0,0,0,0,0,0,0
0,SM_MOVE,1,Monster\shurani\shurani_run.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\shurani\shurani_att01.anim,4,1,1,0,0,0.6,0,1,0,216,0
0,ATTACK,1,Monster\shurani\shurani_att02.anim,4,1,2,0,0,0.76,0,1,0,217,0
0,BLOCKING,0,Monster\shurani\shurani_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\shurani\shurani_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\shurani\shurani_p1.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\shurani\shurani_p2.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\shurani\shurani_p3.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\shurani\shurani_p4.anim,5,1,0.5,0,0,0,0,0,0,0,0
0,SM_DEAD,0,Monster\shurani\shurani_die.anim,4,1,1.83,0,0,0.1,1,0,0,0,0
0,SM_DEAD,10,Monster\shurani\shurani_die_02.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,monster\shurani\shurani_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,monster\shurani\shurani_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,monster\shurani\shurani_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
