Creature,MONSTER,,,,,,,,,,,
Index,2607,,,,,,,,,,,
Skeleton,Monster\skeleton_bishop.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\skeleton_bishop\skeleton_bishop_stand.anim,1,1,4,0,0,0,0,0,0
0,STAND,1,Monster\skeleton_bishop\skeleton_bishop_cstand.anim,1,1,1.3,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\skeleton_bishop\skeleton_bishop_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\skeleton_bishop\skeleton_bishop_cwalk.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,ATTACK,1,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,ATTACK,2,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,ATTACK,3,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,ATTACK,4,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,ATTACK,5,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,ATTACK,6,Monster\skeleton_bishop\skeleton_bishop_att1.anim,4,1,2,0,0,0.39,0,1,0
0,BLOCKING,0,Monster\skeleton_bishop\skeleton_bishop_blocking.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\skeleton_bishop\skeleton_bishop_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\skeleton_bishop\skeleton_bishop_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\skeleton_bishop\skeleton_bishop_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\skeleton_bishop\skeleton_bishop_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\skeleton_bishop\skeleton_bishop_die.anim,4,1,1.66,0,0,0.1,1,0,0
0,GUARDING,0,monster\skeleton_bishop\skeleton_bishop_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\skeleton_bishop\skeleton_bishop_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\skeleton_bishop\skeleton_bishop_guard3.anim,10,1,1,0,0,0,0,0,0
