Creature,MONSTER,,,,,,,,,,,,,
Index,2821,,,,,,,,,,,,,
Skeleton,Monster\stonpillar_01.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\stonpillar\stonpillar_01.anim,1,1,10,0,0,0,0,0,0,0,0
0,STAND,1,Monster\stonpillar\stonpillar_01.anim,1,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\stonpillar\stonpillar_01.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\stonpillar\stonpillar_01.anim,1,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\stonpillar\stonpillar_01.anim,4,1,1,0,0,0.65,0,1,0,0,0
0,BLOCKING,0,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\stonpillar\stonpillar_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\stonpillar\stonpillar_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\stonpillar\stonpillar_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\stonpillar\stonpillar_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\stonpillar\stonpillar_01_die.anim,4,1,5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\stonpillar\stonpillar_01.anim,10,1,1,0,0,0,0,0,0,0,0
