Creature,MONSTER,,,,,,,,,,,
Index,2031,,,,,,,,,,,
Skeleton,Monster\sylvan.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\silvan\sylvan_stand.anim,1,1,2,0,0,0,0,0,0

0,STAND,1,Monster\silvan\sylvan_cstand.anim,1,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\silvan\sylvan_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\silvan\sylvan_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\silvan\sylvan_att01.anim,4,1,1.5,0,0,0.66,0,0,0
0,BLOCKING,0,Monster\silvan\sylvan_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\silvan\sylvan_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\silvan\sylvan_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\silvan\sylvan_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\silvan\sylvan_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\silvan\sylvan_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\silvan\sylvan_die.anim,4,1,1.16,0,0,0.1,1,0,0
0,GUARDING,0,monster\silvan\sylvan_guard1.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,1,monster\silvan\sylvan_guard2.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,2,monster\silvan\sylvan_guard3.anim,10,1,0.5,0,0,0,0,0,0
