Creature,MONSTER,,,,,,,,,,,,,
Index,3922,,,,,,,,,,,,,
Skeleton,Monster\talos.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\talos\talos_stand.anim,4,1,4.46,0,0,0,0,0,0,0,0
0,STAND,1,Monster\talos\talos_cstand.anim,4,1,2,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\talos\talos_walk.anim,4,1,2,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\talos\talos_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\talos\talos_att01.anim,4,1,2.5,0,0,0.52,0,1,0,613,0
0,ATTACK,1,Monster\talos\talos_att02.anim,4,1,3.66,0,0,0,0,1,0,614,0
0,ATTACK,2,Monster\talos\talos_att03.anim,4,1,8.43,0,0,0,0,1,0,615,0
0,BLOCKING,0,Monster\talos\talos_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\talos\talos_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\talos\talos_p4.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\talos\talos_p4.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\talos\talos_p4.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\talos\talos_p4.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\talos\talos_die.anim,4,1,4.5,0,0,0.1,1,0,0,612,0
0,GUARDING,0,Monster\talos\talos_guard03.anim,10,1,0.56,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\talos\talos_guard03.anim,10,1,0.56,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\talos\talos_guard03.anim,10,1,0.56,0,0,0,0,0,0,0,0
