Creature,MONSTER,,,,,,,,,,,,,
Index,1922,,,,,,,,,,,,,
Skeleton,Monster\tider.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\tider\tider_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\tider\tider_cstand.anim,4,1,2,0,0,0,0,0,0,0,0
0,REVIVE,0,Monster\tider\tider_stand.anim,4,1,0.1,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\tider\tider_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Monster\tider\tider_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,Monster\tider\tider_att01.anim,4,1,1.33,0,0,0.55,0,1,0,43,1299
0,ATTACK,1,Monster\tider\tider_att02.anim,4,1,1.33,0,0,0.55,0,1,0,44,1299
0,ATTACK,2,Monster\tider\tider_att03.anim,4,1,1.66,0,0,0.5,0,1,0,45,1699
0,ATTACK,9,Monster\tider\tider_cstand.anim,4,1,1.33,0,0,0.55,0,1,0,43,1299
0,BLOCKING,0,Monster\tider\tider_blocked.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\tider\tider_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\tider\tider_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\tider\tider_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\tider\tider_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\tider\tider_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\tider\tider_die.anim,4,1,4,0,0,0.1,1,0,0,46,3999
0,GUARDING,0,Monster\tider\tider_p4.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\tider\tider_p4.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\tider\tider_p4.anim,10,1,0.4,0,0,0,0,0,0,0,0
