Creature,MONSTER,,,,,,,,,,,,,
Index,2308,,,,,,,,,,,,,
Skeleton,Monster\tsih.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Monster\tsih\tsih_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Monster\tsih\tsih_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Monster\tsih\tsih_walk.anim,4,1,1,0,0,0,0,0,0,30,999
0,MOVE,1,Monster\tsih\tsih_crun.anim,4,1,1,0,0,0,0,0,0,30,999
0,ATTACK,0,Monster\tsih\tsih_att01.anim,4,1,1.33,0,0,0.375,0,1,0,0,0
0,ATTACK,1,Monster\tsih\tsih_att01.anim,4,1,1.33,0,0,0.375,0,1,0,0,0
0,ATTACK,2,Monster\tsih\tsih_att01.anim,4,1,1.33,0,0,0.375,0,1,0,0,0
0,ATTACK,3,Monster\tsih\tsih_att01.anim,4,1,1.33,0,0,0.375,0,1,0,0,0
0,BLOCKING,0,Monster\tsih\tsih_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,Monster\tsih\tsih_blocking.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Monster\tsih\tsih_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Monster\tsih\tsih_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Monster\tsih\tsih_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Monster\tsih\tsih_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Monster\tsih\tsih_die.anim,4,1,2,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Monster\tsih\tsih_guard1.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,1,Monster\tsih\tsih_guard2.anim,10,1,0.4,0,0,0,0,0,0,0,0
0,GUARDING,2,Monster\tsih\tsih_guard3.anim,10,1,0.4,0,0,0,0,0,0,0,0
