Creature,MONSTER,,,,,,,,,,,
Index,204,,,,,,,,,,,
Skeleton,Monster\ukobach.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\ukobach\ukobach_stand.anim,1,1,2,0,0,0,0,0,0
0,STAND,1,Monster\ukobach\ukobach_cstand.anim,1,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\ukobach\ukobach_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\ukobach\ukobach_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,ATTACK,1,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,ATTACK,2,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,ATTACK,3,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,ATTACK,4,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,ATTACK,5,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,ATTACK,6,Monster\ukobach\ukobach_att1.anim,4,1,1.33,0,0,0.22,0,1,0
0,BLOCKING,0,Monster\ukobach\ukobach_blocking.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\ukobach\ukobach_p1.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,1,Monster\ukobach\ukobach_p2.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,2,Monster\ukobach\ukobach_p3.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,3,Monster\ukobach\ukobach_p4.anim,5,1,0.66,0,0,0,0,0,0
0,DEAD,0,Monster\ukobach\ukobach_die.anim,4,1,1.5,0,0,0.1,1,0,0
0,GUARDING,0,monster\ukobach\ukobach_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\ukobach\ukobach_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\ukobach\ukobach_guard3.anim,10,1,1,0,0,0,0,0,0
