Creature,MONSTER,,,,,,,,,,,
Index,1707,,,,,,,,,,,
Skeleton,Monster\venomous.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\venomous\venomous_stand.anim,4,1,1.33,0,0,0,0,0,0
0,STAND,1,Monster\venomous\venomous_cstand.anim,4,1,1.33,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\venomous\venomous_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\venomous\venomous_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,ATTACK,1,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,ATTACK,2,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,ATTACK,3,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,ATTACK,4,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,ATTACK,5,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,ATTACK,6,Monster\venomous\venomous_att01.anim,4,1,1,0,0,0.5,0,1,0
0,BLOCKING,0,Monster\venomous\venomous_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\venomous\venomous_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\venomous\venomous_p1.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\venomous\venomous_p2.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\venomous\venomous_p3.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\venomous\venomous_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\venomous\venomous_die.anim,4,1,1.5,0,0,0.1,1,0,0
0,GUARDING,0,Monster\venomous\venomous_guard1.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,1,Monster\venomous\venomous_guard2.anim,10,1,0.4,0,0,0,0,0,0
0,GUARDING,2,Monster\venomous\venomous_guard3.anim,10,1,0.4,0,0,0,0,0,0
