Creature,MONSTER,,,,,,,,,,,
Index,2038,,,,,,,,,,,
Skeleton,Monster\wonder_water_leaper.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\wonder_water_leaper\wonder_water_leaper_stand.anim,1,1,4,0,0,0,0,0,0
0,STAND,1,Monster\wonder_water_leaper\wonder_water_leaper_cstand.anim,1,1,1.66,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\wonder_water_leaper\wonder_water_leaper_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\wonder_water_leaper\wonder_water_leaper_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\wonder_water_leaper\wonder_water_leaper_att01.anim,4,1,1,0,0,0.4,0,1,0
0,ATTACK,1,Monster\wonder_water_leaper\wonder_water_leaper_att01.anim,4,1,1,0,0,0.4,0,1,0
0,ATTACK,2,Monster\wonder_water_leaper\wonder_water_leaper_att01.anim,4,1,1,0,0,0.4,0,1,0
0,ATTACK,3,Monster\wonder_water_leaper\wonder_water_leaper_att01.anim,4,1,1,0,0,0.4,0,1,0
0,ATTACK,4,Monster\wonder_water_leaper\wonder_water_leaper_att01.anim,4,1,1,0,0,0.4,0,1,0
0,ATTACK,5,Monster\wonder_water_leaper\wonder_water_leaper_att01.anim,4,1,1,0,0,0.4,0,1,0
0,BLOCKING,0,Monster\wonder_water_leaper\wonder_water_leaper_blocking.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\wonder_water_leaper\wonder_water_leaper_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\wonder_water_leaper\wonder_water_leaper_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\wonder_water_leaper\wonder_water_leaper_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\wonder_water_leaper\wonder_water_leaper_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\wonder_water_leaper\wonder_water_leaper_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,Monster\wonder_water_leaper\wonder_water_leaper_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Monster\wonder_water_leaper\wonder_water_leaper_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Monster\wonder_water_leaper\wonder_water_leaper_blocking.anim,10,1,1,0,0,0,0,0,0
