Creature,MONSTER,,,,,,,,,,,
Index,202,,,,,,,,,,,
Skeleton,Monster\yetirion.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\yetirion\yetirion_stand.anim,1,1,5.33,0,0,0,0,0,0
0,STAND,1,Monster\yetirion\yetirion_cstand.anim,1,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\yetirion\yetirion_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\yetirion\yetirion_crun.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\yetirion\yetirion_att1.anim,4,1,1.33,0,0,0.4,0,1,0
0,ATTACK,1,Monster\yetirion\yetirion_att1.anim,4,1,1.33,0,0,0.4,0,1,0
0,ATTACK,2,Monster\yetirion\yetirion_att1.anim,4,1,1.33,0,0,0.4,0,1,0
0,BLOCKING,0,Monster\yetirion\yetirion_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\yetirion\yetirion_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\yetirion\yetirion_p1.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Monster\yetirion\yetirion_p2.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Monster\yetirion\yetirion_p3.anim,5,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Monster\yetirion\yetirion_p4.anim,5,1,0.5,0,0,0,0,0,0
0,DEAD,0,Monster\yetirion\yetirion_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,monster\yetirion\yetirion_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\yetirion\yetirion_guard2.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\yetirion\yetirion_guard3.anim,10,1,1,0,0,0,0,0,0
