Creature,MONSTER,,,,,,,,,,,
Index,1001,,,,,,,,,,,
Skeleton,Monster\zombihost.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Monster\zombihost\zombihost_stand.anim,1,1,4,0,0,0,0,0,0
0,STAND,1,Monster\zombihost\zombihost_cstand.anim,1,1,1.33,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Monster\zombihost\zombihost_walk.anim,1,1,1,0,0,0,0,0,0
0,MOVE,1,Monster\zombihost\zombihost_walk.anim,1,1,1,0,0,0,0,0,0
0,ATTACK,0,Monster\zombihost\zombihost_att1.anim,4,1,0.765315,0,0,0.6,0,1,0
0,ATTACK,1,Monster\zombihost\zombihost_att1.anim,4,1,0.765315,0,0,0.6,0,1,0
0,ATTACK,2,Monster\zombihost\zombihost_att1.anim,4,1,0.765315,0,0,0.6,0,1,0
0,BLOCKING,0,Monster\zombihost\zombihost_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Monster\zombihost\zombihost_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Monster\zombihost\zombihost_p1.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,1,Monster\zombihost\zombihost_p2.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,2,Monster\zombihost\zombihost_p3.anim,5,1,0.66,0,0,0,0,0,0
0,DEFEAT,3,Monster\zombihost\zombihost_p4.anim,5,1,0.66,0,0,0,0,0,0
0,DEAD,0,Monster\zombihost\zombihost_die.anim,4,1,1.33,0,0,0.1,1,0,0
0,GUARDING,0,monster\zombihost\zombihost_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,monster\zombihost\zombihost_blocking.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,monster\zombihost\zombihost_blocking.anim,10,1,1,0,0,0,0,0,0
