\,PC,,,,,,,,,,,,,
Index,1,,,,,,,,,,,,,
Skeleton,Character\ARC.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Character\Archeress\Motion\NONBTL\ARC_NON_STAND_01.anim,5,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Character\Archeress\Motion\NONBTL\ARC_NON_SSTAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
0,STAND,2,Character\Archeress\Motion\ARC_COM_CREATE_01.anim,5,1,2,0,0,0,0,0,0,0,0
0,STAND,3,Character\Archeress\Motion\ARC_COM_CREATE_02.anim,5,1,2.2,0,0,0,0,0,0,0,0
0,OPENMARKET,0,character\archeress\motion\emoti\arc_emt_sitdown.anim,1,1,2,0,0,0,0,0,0,0,0
0,OPENMARKET,1,character\archeress\motion\emoti\arc_emt_sit.anim,1,1,2,0,0,0,0,0,0,0,0
0,CLOSEMARKET,0,character\archeress\motion\emoti\arc_emt_situp.anim,1,1,1.9,0,0,0,0,0,0,0,0
0,REVIVE,0,Character\Archeress\Motion\ARC_COM_REVIVE_01.anim,1,1,3,0,0,0,0,0,0,0,0
0,REVIVE,1,Character\Archeress\Motion\ARC_LOSE_02.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Character\Archeress\Motion\NONBTL\ARC_NON_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Character\Archeress\Motion\NONBTL\ARC_NON_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Character\Archeress\Motion\ARC_COM_DAMAGE_01.anim,4,1,0.64,0,0,0,0,0,0,0,0
0,DEFEAT,1,Character\Archeress\Motion\ARC_COM_DAMAGE_02.anim,4,1,0.64,0,0,0,0,0,0,0,0
0,DEFEAT,2,Character\Archeress\Motion\ARC_COM_DAMAGE_01.anim,4,1,0.64,0,0,0,0,0,0,0,0
0,DEFEAT,3,Character\Archeress\Motion\ARC_COM_DAMAGE_02.anim,4,1,0.64,0,0,0,0,0,0,0,0
0,DEAD,0,Character\Archeress\Motion\ARC_COM_DIE_01.anim,1,1,1.5,0,0,0,1,0,0,0,0
0,DEAD,1,Character\Archeress\Motion\ARC_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
0,MOTION,10,character\archeress\motion\emoti\arc_emt_hi.anim,1,1,1.8,0,0,0,0,0,0,0,0
0,MOTION,11,character\archeress\motion\emoti\arc_emt_salute.anim,1,1,2.7,0,0,0,0,0,0,0,0
0,MOTION,12,character\archeress\motion\emoti\arc_emt_sitdown.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,13,character\archeress\motion\emoti\arc_emt_situp.anim,1,1,1.9,0,0,0,0,0,0,0,0
0,MOTION,14,character\archeress\motion\emoti\arc_emt_sit.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,15,character\archeress\motion\emoti\arc_emt_await.anim,1,1,12.85,0,0,0,0,0,0,0,0
0,MOTION,16,character\archeress\motion\emoti\arc_emt_cheer.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,17,character\archeress\motion\emoti\arc_emt_claque.anim,1,1,2.5,0,0,0,0,0,0,0,0
0,MOTION,18,character\archeress\motion\emoti\arc_emt_cry.anim,1,1,3,0,0,0,0,0,0,0,0
0,MOTION,19,character\archeress\motion\emoti\arc_emt_dance.anim,1,1,7.7,0,0,0,0,0,0,0,0
