Creature,PC,,,,,,,,,,,,,
Index,0,,,,,,,,,,,,,
Skeleton,Character\SWD.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Character\Swordmans\Motion\NONBTL\SWD_NON_STAND_01.anim,5,1,2,0,0,0,0,0,0,0,0
0,STAND,1,Character\Swordmans\Motion\NONBTL\SWD_NON_SSTAND_01.anim,5,1,2.8,0,0,0,0,0,0,0,0
0,STAND,2,Character\Swordmans\Motion\SWD_COM_CREATE_01.anim,5,1,2.7,0,0,0,0,0,0,0,0
0,STAND,3,Character\Swordmans\Motion\SWD_COM_CREATE_02.anim,5,1,6.7,0,0,0,0,0,0,0,0
0,OPENMARKET,0,character\swordmans\motion\emoti\swd_emt_sitdown.anim,1,1,2.35,0,0,0,0,0,0,0,0
0,OPENMARKET,1,character\swordmans\motion\emoti\swd_emt_sit.anim,1,1,2,0,0,0,0,0,0,0,0
0,CLOSEMARKET,0,character\swordmans\motion\emoti\swd_emt_situp.anim,1,1,1.85,0,0,0,0,0,0,0,0
0,REVIVE,0,Character\Swordmans\Motion\SWD_COM_REVIVE_01.anim,1,1,3,0,0,0,0,0,0,0,0
0,REVIVE,1,Character\Swordmans\Motion\SWD_LOSE_02.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Character\Swordmans\Motion\NONBTL\SWD_NON_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Character\Swordmans\Motion\NONBTL\SWD_NON_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEAD,0,Character\Swordmans\Motion\SWD_COM_DIE_01.anim,1,1,1.5,0,0,0,1,0,0,0,0
0,DEAD,1,Character\Swordmans\Motion\SWD_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
0,MOTION,10,character\swordmans\motion\emoti\swd_emt_hi.anim,1,1,1.7,0,0,0,0,0,0,0,0
0,MOTION,11,character\swordmans\motion\emoti\swd_emt_salute.anim,1,1,2.6,0,0,0,0,0,0,0,0
0,MOTION,12,character\swordmans\motion\emoti\swd_emt_sitdown.anim,1,1,2.35,0,0,0,0,0,0,0,0
0,MOTION,13,character\swordmans\motion\emoti\swd_emt_situp.anim,1,1,1.85,0,0,0,0,0,0,0,0
0,MOTION,14,character\swordmans\motion\emoti\swd_emt_sit.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,15,character\swordmans\motion\emoti\swd_emt_await.anim,1,1,13,0,0,0,0,0,0,0,0
0,MOTION,16,character\swordmans\motion\emoti\swd_emt_cheer.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,17,character\swordmans\motion\emoti\swd_emt_claque.anim,1,1,2.5,0,0,0,0,0,0,0,0
0,MOTION,18,character\swordmans\motion\emoti\swd_emt_cry.anim,1,1,3,0,0,0,0,0,0,0,0
0,MOTION,19,character\swordmans\motion\emoti\swd_emt_dance.anim,1,1,4.5,0,0,0,0,0,0,0,0
0,MOTION,20,character\swordmans\motion\emoti\swd_emt_haha.anim,1,1,1.85,0,0,0,0,0,0,0,0
0,MOTION,21,character\swordmans\motion\emoti\swd_emt_stretch.anim,1,1,5,0,0,0,0,0,0,0,0
0,MOTION,22,character\swordmans\motion\emoti\swd_emt_worldcup_01.anim,1,1,60.6,0,0,0,0,0,0,0,0
0,ENDSIEGE,0,character\swordmans\motion\emoti\swd_emt_cheer_full.anim,1,1,10,0,0,0,0,0,0,0,0
0,ENDSIEGE,1,Character\Swordmans\Motion\SWD_LOSE_03.anim,1,1,14,0,0,0,1,0,0,0,0
1,STAND,0,Character\Swordmans\Motion\NONBTL\SWD_NON_STAND_01.anim,5,1,2,0,0,0,0,0,0,0,0
1,STAND,1,Character\Swordmans\Motion\NON\SWD_NON_SSTAND_01.anim,5,1,2.8,0,0,0,0,0,0,0,0
1,REVIVE,0,Character\Swordmans\Motion\SWD_COM_REVIVE_01.anim,1,1,3,0,0,0,0,0,0,0,0
1,REVIVE,1,Character\Swordmans\Motion\SWD_LOSE_02.anim,1,1,1,0,0,0,0,0,0,0,0
1,MOVE,0,Character\Swordmans\Motion\NON\SWD_NON_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,MOVE,1,Character\Swordmans\Motion\NON\SWD_NON_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,ATTACK,0,Character\Swordmans\Motion\NON\SWD_NON_ATTACK_01.anim,4,1,0.56,1,0,0.6,0,1,0,0,0
1,ATTACK,1,Character\Swordmans\Motion\NON\SWD_NON_ATTACK_02.anim,4,1,0.6,0,0,0.5,0,1,0.1,0,0
1,ATTACK,2,Character\Swordmans\Motion\NON\SWD_NON_ATTACK_03.anim,4,1,0.6,2,0,0.4,0,1,0,0,0
1,ATTACK,3,Character\Swordmans\Motion\NON\SWD_NON_ATTACK_04.anim,4,1,0.73,6,0,0.23,0,1,0,0,0
1,BLOCKING,0,Character\Swordmans\Motion\NON\SWD_NON_BLOCKING_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,0,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,1,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,2,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,3,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,4,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,5,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,6,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,7,Character\Swordmans\Motion\NON\SWD_NON_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,DEFEAT,0,Character\Swordmans\Motion\SWD_COM_DAMAGE_01.anim,4,1,0.64,0,0,0,0,0,0,0,0
1,DEFEAT,1,Character\Swordmans\Motion\SWD_COM_DAMAGE_02.anim,4,1,0.64,0,0,0,0,0,0,0,0
1,DEFEAT,2,Character\Swordmans\Motion\SWD_COM_DAMAGE_01.anim,4,1,0.64,0,0,0,0,0,0,0,0
1,DEFEAT,3,Character\Swordmans\Motion\SWD_COM_DAMAGE_02.anim,4,1,0.64,0,0,0,0,0,0,0,0
1,DEAD,0,Character\Swordmans\Motion\SWD_COM_DIE_01.anim,1,1,1.5,0,0,0,1,0,0,0,0
1,DEAD,1,Character\Swordmans\Motion\SWD_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
1,GUARDING,0,character\swordmans\motion\non\swd_non_guard_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,GUARDING,1,character\swordmans\motion\non\swd_non_guard_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,GUARDING,2,character\swordmans\motion\non\swd_non_guard_00.anim,10,1,1,0,0,0,0,0,0,0,0
1,SM_STAND,0,Character\swordmans\Motion\SWD_SWIM_COM_STAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
1,SM_STAND,1,Character\swordmans\Motion\SWD_SWIM_COM_STAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
1,SM_MOVE,0,Character\swordmans\Motion\SWD_SWIM_COM_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,SM_MOVE,1,Character\swordmans\Motion\SWD_SWIM_COM_CRUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,SM_REVIVE,0,Character\swordmans\Motion\SWD_SWIM_COM_REVIVE_01.anim,1,1,4,0,0,0,0,0,0,0,0
1,SM_DEAD,0,Character\swordmans\Motion\SWD_SWIM_COM_DIE_01.anim,1,1,2,0,0,0,1,0,0,0,0
1,SM_DEAD,1,Character\Swordmans\Motion\SWD_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
1,SM_DEAD,10,Character\swordmans\Motion\SWD_SWIM_COM_DIE_02.anim,1,1,2,0,0,0,1,0,0,0,0
1,SM_DEAD,11,Character\Swordmans\Motion\SWD_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
1,SKILL,10000,Character\Swordmans\Skill\Skill1_Ready.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,10001,Character\Swordmans\Skill\Skill1_Charge.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,10002,Character\Swordmans\Skill\Skill1_Finish.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,0,Character\Swordmans\Skill\Skill1_Action0.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,1,Character\Swordmans\Skill\Skill1_Action1.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,2,Character\Swordmans\Skill\Skill1_Action2.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,3,Character\Swordmans\Skill\Skill1_Action3.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,4,Character\Swordmans\Skill\Skill1_Action4.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,5,Character\Swordmans\Skill\Skill1_Action5.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,9,Character\Swordmans\Skill\SWD_SKL_COM_POWERSTRIKE_01.anim,4,1,1,0,0,0.55,0,0,0,35,0
1,SKILL,10,Character\Swordmans\Skill\SWD_SKL_ONE_SHARPERNBLADE_READY.anim,4,1,1,0,0,0,0,0,0,2,0
1,SKILL,11,Character\Swordmans\Skill\SWD_SKL_ONE_SHARPERNBLADE_FINISH.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,12,Character\Swordmans\Skill\SWD_SKL_ONE_SHARPERNBLADE_ACTION0.anim,4,1,1,0,0,0,0,0,0,3,0
1,SKILL,13,Character\Swordmans\Skill\SWD_SKL_SSW_SODDEFENSE_ACTION_01.anim,4,1,1,0,0,0,0,0,0,4,0
1,SKILL,90,Character\Swordmans\Skill\SWD_SKL_COM_STRENGTHEN_ACTION_01.anim,4,1,1,0,0,0,0,0,0,19,0
1,SKILL,91,character\swordmans\skill\SWD_SKL_ONE_JUMPING_READY.anim,4,1,1,0,0,0,0,0,0,0,0
1,SKILL,92,character\swordmans\skill\SWD_SKL_ONE_JUMPING_ACTION.anim,4,1,1,0,0,0.77,0,0,0,20,0
1,SKILL,93,character\swordmans\skill\SWD_SKL_ONE_JUMPING_FINISH.anim,2,1,1,0,0,0,0,0,0,0,0
1,SKILL,94,character\swordmans\skill\SWD_SKL_ONE_WHEELWIND_READY.anim,4,1,1,0,0,0,0,0,0,21,500
1,SKILL,95,character\swordmans\skill\SWD_SKL_ONE_WHEELWIND_ACTION.anim,4,1,1,0,0,0,0,0,0,22,550
1,SKILL,96,character\swordmans\skill\SWD_SKL_ONE_WHEELWIND_FINISH.anim,4,1,1,0,0,0,0,0,0,23,0
1,SKILL,97,Character\Swordmans\Skill\SWD_SKL_COM_STRENGTHEN_ACTION_01.anim,4,1,1,0,1,0,0,0,0,28,0
1,SKILL,110,character\swordmans\skill\SWD_SKL_COM_ACCELEATION_ACTION_01.anim,4,1,1,0,0,0,0,0,0,24,0
1,SKILL,111,character\swordmans\skill\SWD_SKL_COM_ACCELEATION_ACTION_01.anim,4,1,1,0,0,0,0,0,0,25,0
1,SKILL,98,character\swordmans\skill\SWD_SKL_COM_VIGORCRY_01.anim,4,1,1,0,0,1,0,0,0,38,0
1,SKILL,99,character\swordmans\skill\SWD_SKL_COM_VIGORCRY_02.anim,4,1,1,0,0,0.75,0,0,0,0,0
1,SKILL,100,character\swordmans\skill\SWD_SKL_COM_VIGORCRY_03.anim,4,1,1,0,0,0.35,0,0,0,0,0
1,SKILL,101,character\swordmans\skill\SWD_SKL_COM_VIGORCRY_04.anim,4,1,1,0,0,0.2,0,0,0,0,0
1,SKILL,102,character\swordmans\skill\SWD_SKL_COM_DIVIDESPHERE_01.anim,4,1,1,0,0,0.85,0,0,0,42,0
1,SKILL,103,character\swordmans\skill\SWD_SKL_COM_DIVIDESPHERE_02.anim,4,1,1,0,0,0.75,0,0,0,0,0
1,SKILL,104,character\swordmans\skill\SWD_SKL_COM_DIVIDESPHERE_03.anim,4,1,1,0,0,0.5,0,0,0,0,0
2,STAND,0,Character\Swordmans\Motion\SWD_ONE_STAND_01.anim,5,1,1.2,0,0,0,0,0,0,0,0
2,STAND,1,Character\Swordmans\Motion\SWD_ONE_SSTAND_01.anim,5,1,4.5,0,0,0,0,0,0,0,0
2,REVIVE,0,Character\Swordmans\Motion\SWD_COM_REVIVE_01.anim,1,1,3,0,0,0,0,0,0,0,0
2,REVIVE,1,Character\Swordmans\Motion\SWD_LOSE_02.anim,1,1,1,0,0,0,0,0,0,0,0
2,MOVE,0,Character\Swordmans\Motion\SWD_ONE_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
2,MOVE,1,Character\Swordmans\Motion\SWD_ONE_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
2,ATTACK,0,Character\Swordmans\Motion\SSW\SWD_SSW_ATTACK_01.anim,4,1,0.47,6,1,0.6,0,1,0,0,0
2,ATTACK,1,Character\Swordmans\Motion\SSW\SWD_SSW_ATTACK_02.anim,4,1,0.54,4,1,0.6,0,0.84375,0.1,0,0
2,BLOCKING,0,Character\Swordmans\Motion\SSW\SWD_SSW_BLOCKING_00.anim,10,1,1,0,0,0,0,0,0,0,0
2,BLOCKED,0,Character\Swordmans\Motion\SWD_ONE_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
2,BLOCKED,1,Character\Swordmans\Motion\SWD_ONE_BLOCKED_01.anim,10,1,1,0,0,0,0,0,0,0,0
2,BLOCKED,2,Character\Swordmans\Motion\SWD_ONE_BLOCKED_02.anim,10,1,1,0,0,0,0,0,0,0,0
2,BLOCKED,3,Character\Swordmans\Motion\SWD_ONE_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
2,BLOCKED,4,Character\Swordmans\Motion\SWD_ONE_BLOCKED_00.anim,10,1,1,0,0,0,0,0,0,0,0
