Creature,PC,,,,,,,,,,,,,
Index,5,,,,,,,,,,,,,
Skeleton,Character\BGW.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Character\WARRIOR\Motion\NON\BGW_NON_STAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
0,STAND,1,Character\WARRIOR\Motion\NON\BGW_NON_CSTAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
0,STAND,2,Character\WARRIOR\Motion\BGW_CREATE_01.anim,5,1,2.1,0,0,0,0,0,0,0,0
0,STAND,3,Character\WARRIOR\Motion\BGW_CREATE_02.anim,5,1,5,0,0,0,0,0,0,0,0
0,OPENMARKET,0,Character\WARRIOR\Motion\Emoti\BGW_EMT_SITDOWN.anim,1,1,2.33,0,0,0,0,0,0,0,0
0,OPENMARKET,1,Character\WARRIOR\Motion\Emoti\BGW_EMT_SIT.anim,1,1,2,0,0,0,0,0,0,0,0
0,CLOSEMARKET,0,Character\WARRIOR\Motion\Emoti\BGW_EMT_SITUP.anim,1,1,1.7,0,0,0,0,0,0,0,0
0,REVIVE,0,Character\WARRIOR\Motion\BGW_REVIVE_01.anim,1,1,4,0,0,0,0,0,0,0,0
0,REVIVE,1,Character\WARRIOR\Motion\BGW_LOSE_02.anim,1,1,1,0,0,0,0,0,0,0,0
0,MOVE,0,Character\WARRIOR\Motion\NON\BGW_NON_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Character\WARRIOR\Motion\NON\BGW_NON_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEAD,0,Character\WARRIOR\Motion\BGW_DIE_01.anim,1,1,2,0,0,0,1,0,0,0,0
0,DEAD,1,Character\WARRIOR\Motion\BGW_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
0,MOTION,10,Character\WARRIOR\motion\emoti\BGW_emt_hi_01.anim,1,1,1.9,0,0,0,0,0,0,0,0
0,MOTION,11,Character\WARRIOR\motion\emoti\BGW_emt_salute_01.anim,1,1,2.5,0,0,0,0,0,0,0,0
0,MOTION,12,Character\WARRIOR\motion\emoti\BGW_emt_sitdown.anim,1,1,2.33,0,0,0,0,0,0,0,0
0,MOTION,13,Character\WARRIOR\motion\emoti\BGW_emt_situp.anim,1,1,1.7,0,0,0,0,0,0,0,0
0,MOTION,14,Character\WARRIOR\motion\emoti\BGW_emt_sit.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,15,Character\WARRIOR\motion\emoti\BGW_emt_await_01.anim,1,1,7.3,0,0,0,0,0,0,0,0
0,MOTION,16,Character\WARRIOR\motion\emoti\BGW_emt_cheer_01.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,17,Character\WARRIOR\motion\emoti\BGW_emt_claque_01.anim,1,1,2.5,0,0,0,0,0,0,0,0
0,MOTION,18,Character\WARRIOR\motion\emoti\BGW_emt_cry_01.anim,1,1,3,0,0,0,0,0,0,0,0
0,MOTION,19,Character\WARRIOR\motion\emoti\BGW_emt_dance_01.anim,1,1,5.5,0,0,0,0,0,0,0,0
0,MOTION,20,Character\WARRIOR\motion\emoti\BGW_emt_haha_01.anim,1,1,2,0,0,0,0,0,0,0,0
0,MOTION,21,Character\WARRIOR\motion\emoti\BGW_emt_stretch_01.anim,1,1,5,0,0,0,0,0,0,0,0
0,MOTION,22,Character\WARRIOR\motion\emoti\BGW_emt_worldcup_01.anim,1,1,60.6,0,0,0,0,0,0,0,0
0,ENDSIEGE,0,Character\WARRIOR\motion\emoti\BGW_emt_cheer_full.anim,1,1,10,0,0,0,0,0,0,0,0
0,ENDSIEGE,1,Character\WARRIOR\Motion\BGW_LOSE_03.anim,1,1,14,0,0,0,1,0,0,0,0
1,STAND,0,Character\WARRIOR\Motion\NON\BGW_NON_STAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
1,STAND,1,Character\WARRIOR\Motion\NON\BGW_NON_CSTAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
1,REVIVE,0,Character\WARRIOR\Motion\BGW_REVIVE_01.anim,1,1,4,0,0,0,0,0,0,0,0
1,REVIVE,1,Character\WARRIOR\Motion\BGW_LOSE_02.anim,1,1,3,0,0,0,0,0,0,0,0
1,MOVE,0,Character\WARRIOR\Motion\NON\BGW_NON_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,MOVE,1,Character\WARRIOR\Motion\NON\BGW_NON_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,ATTACK,0,Character\WARRIOR\Motion\NON\BGW_NON_ATTACK_01.anim,4,1,0.6,0,0,0.8,0,1,0,0,0
1,ATTACK,1,Character\WARRIOR\Motion\NON\BGW_NON_ATTACK_02.anim,4,1,0.8,6,0,0.6,0,1,0.1,0,0
1,ATTACK,2,Character\WARRIOR\Motion\NON\BGW_NON_ATTACK_03.anim,4,1,0.4,3,0,0.5,0,1,0,0,0
1,ATTACK,3,Character\WARRIOR\Motion\NON\BGW_NON_ATTACK_04.anim,4,1,0.8,7,0,0.5,0,1,0,0,0
1,BLOCKING,0,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKING_01.anim,10,1,0.5,0,0,0,0,0,0,0,0
1,BLOCKED,0,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_01.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,1,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_02.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,2,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_03.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,3,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_01.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,4,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_01.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,5,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_01.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,6,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_02.anim,10,1,1,0,0,0,0,0,0,0,0
1,BLOCKED,7,Character\WARRIOR\Motion\NON\BGW_NON_BLOCKED_02.anim,10,1,1,0,0,0,0,0,0,0,0
1,DEFEAT,0,Character\WARRIOR\Motion\BGW_P1.anim,4,1,0.55,0,0,0,0,0,0,0,0
1,DEFEAT,1,Character\WARRIOR\Motion\BGW_P2.anim,4,1,0.7,0,0,0,0,0,0,0,0
1,DEFEAT,2,Character\WARRIOR\Motion\BGW_P1.anim,4,1,0.55,0,0,0,0,0,0,0,0
1,DEFEAT,3,Character\WARRIOR\Motion\BGW_P2.anim,4,1,0.7,0,0,0,0,0,0,0,0
1,DEAD,0,Character\WARRIOR\Motion\BGW_DIE_01.anim,1,1,2,0,0,0,1,0,0,0,0
1,DEAD,1,Character\WARRIOR\Motion\BGW_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
1,GUARDING,0,Character\WARRIOR\Motion\NON\BGW_NON_GUARD_01.anim,10,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,1,Character\WARRIOR\Motion\NON\BGW_NON_GUARD_01.anim,10,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,2,Character\WARRIOR\Motion\NON\BGW_NON_GUARD_01.anim,10,1,0.5,0,0,0,0,0,0,0,0
1,SM_STAND,0,Character\WARRIOR\Motion\BGW_SWIM_COM_STAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
1,SM_STAND,1,Character\WARRIOR\Motion\BGW_SWIM_COM_STAND_01.anim,5,1,1.5,0,0,0,0,0,0,0,0
1,SM_MOVE,0,Character\WARRIOR\Motion\BGW_SWIM_COM_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,SM_MOVE,1,Character\WARRIOR\Motion\BGW_SWIM_COM_RUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,SM_REVIVE,0,Character\WARRIOR\Motion\BGW_SWIM_COM_REVIVE_01.anim,1,1,4,0,0,0,0,0,0,0,0
1,SM_DEAD,0,Character\WARRIOR\Motion\BGW_SWIM_COM_DIE_01.anim,1,1,2,0,0,0,1,0,0,0,0
1,SM_DEAD,1,Character\WARRIOR\Motion\BGW_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
1,SM_DEAD,10,Character\WARRIOR\Motion\BGW_SWIM_COM_DIE_02.anim,1,1,2,0,0,0,1,0,0,0,0
1,SM_DEAD,11,Character\WARRIOR\Motion\BGW_LOSE_01.anim,1,1,3,0,0,0,1,0,0,0,0
1,SKILL,0,Character\Warrior\Skill\BGW_SKL_NCL_WILDBASH_01.anim,4,1,1,3,0,0.55,0,0,0,1003,0
1,SKILL,1,Character\Warrior\Skill\BGW_SKL_NCL_DOUBLESMASH_01.anim,4,1,1,3,0,1,0,0,0,1004,0
1,SKILL,2,Character\Warrior\Skill\BGW_SKL_NCL_DOUBLESMASH_02.anim,4,1,1,3,0,0.6,0,0,0,0,0
1,SKILL,3,Character\Warrior\Skill\BGW_SKL_NCL_HARDBLOW_01.anim,4,1,1,3,0,0.8,0,0,0,1005,0
1,SKILL,4,Character\Warrior\Skill\BGW_SKL_NCL_HARDBLOW_02.anim,4,1,1,3,0,0.7,0,0,0,0,0
1,SKILL,5,Character\Warrior\Skill\BGW_SKL_NCL_HARDBLOW_03.anim,4,1,1,3,0,0.7,0,0,0,0,0
1,SKILL,6,Character\Warrior\Skill\BGW_SKL_NCL_HARDBLOW_04.anim,4,1,1,3,0,0.6,0,0,0,0,0
1,SKILL,7,Character\Warrior\Skill\BGW_SKL_NCL_BULLSCRY_01.anim,4,1,1,3,0,1,0,0,0,1006,0
1,SKILL,8,Character\Warrior\Skill\BGW_SKL_NCL_MADBARRAGE_01.anim,4,1,1,3,0,0.95,0,0,0,1008,0
1,SKILL,9,Character\Warrior\Skill\BGW_SKL_NCL_MADBARRAGE_02.anim,4,1,1,3,0,0.75,0,0,0,0,0
1,SKILL,10,Character\Warrior\Skill\BGW_SKL_NCL_MADBARRAGE_03.anim,4,1,1,3,0,0.7,0,0,0,0,0
1,SKILL,11,Character\Warrior\Skill\BGW_SKL_NCL_MADBARRAGE_04.anim,4,1,1,3,0,0.5,0,0,0,0,0
1,SKILL,12,Character\Warrior\Skill\BGW_SKL_NCL_MADBARRAGE_05.anim,4,1,1,3,0,0.3,0,0,0,0,0
1,SKILL,13,Character\Warrior\Skill\BGW_SKL_NCL_EARTHQUAKE_01.anim,4,1,1,3,0,0.5,0,0,0,1010,0
1,SKILL,14,Character\Warrior\Skill\BGW_SKL_NCL_CHANINBURST_01.anim,4,1,1,3,0,0.32,0,0,0,1009,0
1,SKILL,15,Character\Warrior\Skill\BGW_SKL_NCL_RESISTANCE_01.anim,4,1,1,3,0,1,0,0,0,1007,0
1,SKILL,16,Character\Warrior\Skill\BGW_SKL_NCL_MAGICALRESIST_01.anim,4,1,1,3,0,1,0,0,0,1017,0
1,SKILL,17,Character\Warrior\Skill\BGW_SKL_NCL_PHYSICALRESIST_01.anim,4,1,1,3,0,1,0,0,0,1011,0
