Creature,RIDER,,,,,,,,,,,,,
Index,30,,,,,,,,,,,,,
Skeleton,Character\SWD.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
0,STAND,1,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
0,STAND,2,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
0,STAND,3,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
0,MOVE,0,Character\Swordmans\Motion\SWD_RID_rhathys_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Character\Swordmans\Motion\SWD_RID_rhathys_CRUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,STAND,0,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
1,STAND,1,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
1,MOVE,0,Character\Swordmans\Motion\SWD_RID_rhathys_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,MOVE,1,Character\Swordmans\Motion\SWD_RID_rhathys_CRUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
1,BLOCKING,0,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,BLOCKED,0,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,0,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,1,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,2,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,3,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,0,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,1,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,2,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,STAND,0,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
2,STAND,1,Character\Swordmans\Motion\SWD_RID_rhathys_STAND_01.anim,5,1,4,0,0,0,0,0,0,0,0
2,MOVE,0,Character\Swordmans\Motion\SWD_RID_rhathys_WALK_01.anim,5,1,1,0,0,0,0,0,0,0,0
2,MOVE,1,Character\Swordmans\Motion\SWD_RID_rhathys_CRUN_01.anim,5,1,1,0,0,0,0,0,0,0,0
2,BLOCKING,0,Character\Swordmans\Motion\SWD_RID_rhathys_P3_01.anim,4,1,0.5,0,0,0,0,0,0,0,0
