Creature,SENTRY,,,,,,,,,,,,,
Index,50001,,,,,,,,,,,,,
Skeleton,Sentry\ptolemais.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,sentry\ptolemais\ptolemais_stand.anim,4,1,2,0,0,0,0,0,0,0,0
0,STAND,1,sentry\ptolemais\ptolemais_cstand.anim,4,1,1,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,sentry\ptolemais\ptolemais_walk.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,sentry\ptolemais\ptolemais_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,0,sentry\ptolemais\ptolemais_att1.anim,4,1,1.1,0,0,0.65,0,1,0,9,0
0,ATTACK,1,sentry\ptolemais\ptolemais_att2.anim,4,1,1.5,0,0,0.65,0,1,0,10,0
0,BLOCKING,0,sentry\ptolemais\ptolemais_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,BLOCKED,0,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,1,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,2,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,3,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,4,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,5,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,6,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,BLOCKED,7,sentry\ptolemais\ptolemais_blocked.anim,10,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,sentry\ptolemais\ptolemais_p1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,sentry\ptolemais\ptolemais_p2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,sentry\ptolemais\ptolemais_p3.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,sentry\ptolemais\ptolemais_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,sentry\ptolemais\ptolemais_die.anim,4,1,1.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,sentry\ptolemais\ptolemais_guard1.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,1,sentry\ptolemais\ptolemais_guard2.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,GUARDING,2,sentry\ptolemais\ptolemais_guard3.anim,10,1,0.5,0,0,0,0,0,0,0,0
