Creature,SERVANT,,,,,,,,,,,
Index,4061,,,,,,,,,,,
Skeleton,Servant\aldebaran.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Servant\aldebaran\aldebaran_stand.anim,4,1,6,0,0,0,0,0,0
0,STAND,1,Servant\aldebaran\aldebaran_cstand.anim,4,1,2,0,0,0,0,0,0
0,SM_STAND,0,Servant\aldebaran\aldebaran_swim_stand.anim,4,1,6,0,0,0,0,0,0
0,SM_STAND,1,Servant\aldebaran\aldebaran_swim_stand.anim,4,1,2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Servant\aldebaran\aldebaran_walk.anim,4,1,1.13,0,0,0,0,0,0
0,MOVE,1,Servant\aldebaran\aldebaran_crun.anim,4,1,1,0,0,0,0,0,0
0,SM_MOVE,0,Servant\aldebaran\aldebaran_swim_walk.anim,4,1,1.13,0,0,0,0,0,0
0,SM_MOVE,1,Servant\aldebaran\aldebaran_swim_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Servant\aldebaran\aldebaran_att01.anim,4,1,1,0,0,0.33,0,1,0
0,ATTACK,1,Servant\aldebaran\aldebaran_att02.anim,4,1,1.66,0,0,0.72,0,1,0
0,ATTACK,2,Servant\aldebaran\aldebaran_att02.anim,4,1,1.66,0,0,0.72,0,1,0
0,BLOCKING,0,Servant\aldebaran\aldebaran_blocking.anim,10,1,0.6,0,0,0,0,0,0
0,BLOCKED,0,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Servant\aldebaran\aldebaran_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Servant\aldebaran\aldebaran_p4.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,1,Servant\aldebaran\aldebaran_p4.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,2,Servant\aldebaran\aldebaran_p4.anim,10,1,0.6,0,0,0,0,0,0
0,DEFEAT,3,Servant\aldebaran\aldebaran_p4.anim,10,1,0.6,0,0,0,0,0,0
0,DEAD,0,Servant\aldebaran\aldebaran_die.anim,4,1,2.66,0,0,0.1,1,0,0
0,GUARDING,0,Servant\aldebaran\aldebaran_guard3.anim,10,1,0.6,0,0,0,0,0,0
0,GUARDING,1,Servant\aldebaran\aldebaran_guard3.anim,10,1,0.6,0,0,0,0,0,0
0,GUARDING,2,Servant\aldebaran\aldebaran_guard3.anim,10,1,0.6,0,0,0,0,0,0
