Creature,SERVANT,,,,,,,,,,,
Index,4007,,,,,,,,,,,
Skeleton,Servant\grupain.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Servant\gurupain\grupain_cstand.anim,4,1,1,0,0,0,0,0,0
0,STAND,1,Servant\gurupain\grupain_cstand.anim,4,1,1,0,0,0,0,0,0
0,SM_STAND,0,Servant\gurupain\grupain_cstand.anim,4,1,1,0,0,0,0,0,0
0,SM_STAND,1,Servant\gurupain\grupain_cstand.anim,4,1,1,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Servant\gurupain\grupain_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Servant\gurupain\grupain_run.anim,4,1,1,0,0,0,0,0,0
0,SM_MOVE,0,Servant\gurupain\grupain_walk.anim,4,1,1,0,0,0,0,0,0
0,SM_MOVE,1,Servant\gurupain\grupain_run.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Servant\gurupain\grupain_att01.anim,4,1,1.2,0,0,0.25,0,1,0
0,ATTACK,1,Servant\gurupain\grupain_att01.anim,4,1,1.2,0,0,0.25,0,1,0
0,ATTACK,2,Servant\gurupain\grupain_att01.anim,4,1,1.2,0,0,0.25,0,1,0
0,ATTACK,3,Servant\gurupain\grupain_att01.anim,4,1,1.2,0,0,0.25,0,1,0
0,ATTACK,4,Servant\gurupain\grupain_att01.anim,4,1,1.2,0,0,0.25,0,1,0
0,ATTACK,5,Servant\gurupain\grupain_att01.anim,4,1,1.2,0,0,0.25,0,1,0
0,BLOCKING,0,Servant\gurupain\grupain_blocking.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Servant\gurupain\grupain_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Servant\gurupain\grupain_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Servant\gurupain\grupain_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Servant\gurupain\grupain_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Servant\gurupain\grupain_die.anim,4,1,1.2,0,0,0.1,1,0,0
0,GUARDING,0,Servant\gurupain\grupain_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Servant\gurupain\grupain_guard1.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Servant\gurupain\grupain_guard1.anim,10,1,1,0,0,0,0,0,0
