Creature,SERVANT,,,,,,,,,,,
Index,4025,,,,,,,,,,,
Skeleton,Servant\regulus.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Servant\regulus\regulus_stand.anim,4,1,6,0,0,0,0,0,0
0,STAND,1,Servant\regulus\regulus_sstand.anim,4,1,2,0,0,0,0,0,0
0,SM_STAND,0,Servant\regulus\regulus_swim_stand.anim,4,1,6,0,0,0,0,0,0
0,SM_STAND,1,Servant\regulus\regulus_swim_stand.anim,4,1,2,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Servant\regulus\regulus_walk.anim,4,1,1,0,0,0,0,0,0
0,MOVE,1,Servant\regulus\regulus_run.anim,4,1,1,0,0,0,0,0,0
0,SM_MOVE,0,Servant\regulus\regulus_swim_walk.anim,4,1,1,0,0,0,0,0,0
0,SM_MOVE,1,Servant\regulus\regulus_swim_crun.anim,4,1,1,0,0,0,0,0,0
0,ATTACK,0,Servant\regulus\regulus_att02.anim,4,1,1,0,0,0.53,0,1,0
0,ATTACK,1,Servant\regulus\regulus_att02.anim,4,1,1,0,0,0.53,0,1,0
0,ATTACK,2,Servant\regulus\regulus_att03.anim,4,1,0.9,0,0,0.53,0,1,0
0,BLOCKING,0,Servant\regulus\regulus_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,0,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Servant\regulus\regulus_blocked.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Servant\regulus\regulus_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Servant\regulus\regulus_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Servant\regulus\regulus_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Servant\regulus\regulus_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Servant\regulus\regulus_die.anim,4,1,1.7,0,0,0.1,1,0,0
0,GUARDING,0,Servant\regulus\regulus_guard3.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,1,Servant\regulus\regulus_guard3.anim,10,1,1,0,0,0,0,0,0
0,GUARDING,2,Servant\regulus\regulus_guard3.anim,10,1,1,0,0,0,0,0,0
