Creature,SERVANT,,,,,,,,,,,,,
Index,4149,,,,,,,,,,,,,
Skeleton,Servant\silpede.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,Servant\silpede\silpede_cstand.anim,4,1,1.5,0,0,0,0,0,0,0,0
0,STAND,1,Servant\silpede\silpede_cstand.anim,4,1,1.5,0,0,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0,0,0
0,MOVE,0,Servant\silpede\silpede_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,MOVE,1,Servant\silpede\silpede_crun.anim,4,1,1,0,0,0,0,0,0,0,0
0,ATTACK,3,Servant\silpede\silpede_att01.anim,4,1,1,0,0,0.62,0,1,0,110,0
0,BLOCKING,0,Servant\silpede\silpede_blocking.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,0,Servant\silpede\silpede_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,1,Servant\silpede\silpede_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,2,Servant\silpede\silpede_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEFEAT,3,Servant\silpede\silpede_p4.anim,10,1,0.5,0,0,0,0,0,0,0,0
0,DEAD,0,Servant\silpede\silpede_p4.anim,4,1,0.5,0,0,0.1,1,0,0,0,0
0,GUARDING,0,Servant\silpede\silpede_guard3.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,GUARDING,1,Servant\silpede\silpede_guard3.anim,10,1,0.6,0,0,0,0,0,0,0,0
0,GUARDING,2,Servant\silpede\silpede_guard3.anim,10,1,0.6,0,0,0,0,0,0,0,0
