Creature,SERVANT,,,,,,,,,,,
Index,4106,,,,,,,,,,,
Skeleton,Servant\tentator.skel,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze
0,STAND,0,Servant\tentator\tentator_stand.anim,4,1,2,0,0,0,0,0,0
0,STAND,1,Servant\tentator\tentator_cstand.anim,4,1,1.33,0,0,0,0,0,0
0,SM_STAND,0,Servant\tentator\tentator_stand.anim,4,1,2,0,0,0,0,0,0
0,SM_STAND,1,Servant\tentator\tentator_cstand.anim,4,1,1.33,0,0,0,0,0,0
0,REVIVE,0,,0,1,0,0,0,0,0,0,0
0,MOVE,0,Servant\tentator\tentator_walk.anim,4,1,1.33,0,0,0,0,0,0
0,MOVE,1,Servant\tentator\tentator_run.anim,4,1,1.33,0,0,0,0,0,0
0,SM_MOVE,0,Servant\tentator\tentator_walk.anim,4,1,1.33,0,0,0,0,0,0
0,SM_MOVE,1,Servant\tentator\tentator_run.anim,4,1,1.33,0,0,0,0,0,0
0,ATTACK,0,Servant\tentator\tentator_att01.anim,4,1,1.33,0,0,0.425,0,1,0
0,ATTACK,1,Servant\tentator\tentator_att01.anim,4,1,1.33,0,0,0.425,0,1,0
0,ATTACK,2,Servant\tentator\tentator_att01.anim,4,1,1.33,0,0,0.425,0,1,0
0,ATTACK,3,Servant\tentator\tentator_att01.anim,4,1,1.33,0,0,0.425,0,1,0
0,ATTACK,4,Servant\tentator\tentator_att01.anim,4,1,1.33,0,0,0.425,0,1,0
0,ATTACK,5,Servant\tentator\tentator_att01.anim,4,1,1.66,0,0,0.5,0,1,0
0,BLOCKING,0,Servant\tentator\tentator_blocking.anim,10,1,0.5,0,0,0,0,0,0
0,BLOCKED,0,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,1,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,2,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,3,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,4,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,5,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,6,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,BLOCKED,7,Servant\tentator\tentator_blocking.anim,10,1,1,0,0,0,0,0,0
0,DEFEAT,0,Servant\tentator\tentator_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,1,Servant\tentator\tentator_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,2,Servant\tentator\tentator_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEFEAT,3,Servant\tentator\tentator_p4.anim,10,1,0.5,0,0,0,0,0,0
0,DEAD,0,Servant\tentator\tentator_die.anim,4,1,1.66,0,0,0.1,1,0,0
0,GUARDING,0,Servant\tentator\tentator_guard3.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,1,Servant\tentator\tentator_guard3.anim,10,1,0.5,0,0,0,0,0,0
0,GUARDING,2,Servant\tentator\tentator_guard3.anim,10,1,0.5,0,0,0,0,0,0
