Creature,VEHICLE,,,,,,,,,,,,,
Index,10,,,,,,,,,,,,,
Skeleton,vehicle\Sylphid.skel,,,,,,,,,,,,,

Style,Action,Index,Animation,Start_Inter,End_Inter,TimeLength,Swing,Strike,Timing,Split,Timing2,Freeze,Effect,CancelTime
0,STAND,0,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
0,STAND,1,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
0,STAND,2,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
0,STAND,3,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
0,MOVE,0,vehicle\Sylphid\Sylphid_walk.anim,5,1,1.3,0,0,0,0,0,0,0,0
0,MOVE,1,vehicle\Sylphid\Sylphid_crun.anim,5,1,1,0,0,0,0,0,0,0,0
0,DEFEAT,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,STAND,0,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
1,STAND,1,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
1,MOVE,0,vehicle\Sylphid\Sylphid_walk.anim,5,1,1.3,0,0,0,0,0,0,0,0
1,MOVE,1,vehicle\Sylphid\Sylphid_crun.anim,5,1,1,0,0,0,0,0,0,0,0
1,BLOCKING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,BLOCKED,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,BLOCKED,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,DEFEAT,3,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
1,GUARDING,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,STAND,0,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
2,STAND,1,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
2,MOVE,0,vehicle\Sylphid\Sylphid_walk.anim,5,1,1.3,0,0,0,0,0,0,0,0
2,MOVE,1,vehicle\Sylphid\Sylphid_crun.anim,5,1,1,0,0,0,0,0,0,0,0
2,BLOCKING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,3,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,4,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,5,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,6,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,BLOCKED,7,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,DEFEAT,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,DEFEAT,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,DEFEAT,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,DEFEAT,3,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,GUARDING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,GUARDING,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
2,GUARDING,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,STAND,0,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
3,STAND,1,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
3,MOVE,0,vehicle\Sylphid\Sylphid_walk.anim,5,1,1.3,0,0,0,0,0,0,0,0
3,MOVE,1,vehicle\Sylphid\Sylphid_crun.anim,5,1,1,0,0,0,0,0,0,0,0
3,BLOCKING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,3,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,4,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,5,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,6,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,BLOCKED,7,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,DEFEAT,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,DEFEAT,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,DEFEAT,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,DEFEAT,3,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,GUARDING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,GUARDING,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
3,GUARDING,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,STAND,0,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
4,STAND,1,vehicle\Sylphid\Sylphid_stand.anim,5,1,3,0,0,0,0,0,0,1157,0
4,MOVE,0,vehicle\Sylphid\Sylphid_walk.anim,5,1,1.3,0,0,0,0,0,0,0,0
4,MOVE,1,vehicle\Sylphid\Sylphid_crun.anim,5,1,1,0,0,0,0,0,0,0,0
4,BLOCKING,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,1,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,2,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,3,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,4,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,5,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,6,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,BLOCKED,7,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
4,DEFEAT,0,vehicle\Sylphid\Sylphid_p3.anim,4,1,0.5,0,0,0,0,0,0,0,0
