DwInfoIndex,DwExploreRange,DwSight,DwPersuitRange,DwAvoidRange,DwExploreStandDelay,DwExploreMoveDelay,DwStandDelay,DwMoveDelay,DwFollowMyMasterRange,DwStopMasterNear,DwWarpMyMasterRange,DwCallTeamPossibelHP,DwCallTeamCount,DwBlockNFirstAttack,dwCallTeamCell,dwFollowTarget,dwSpecialAttackStartHP,dwSpecialMeleeAttackRate,dwSpecialRangeAttackRate,DwPowerAttacjStartHP,dwPowerMeleeAttackProbable,dwPowerRangeAttackProbable,DwUnderAttackAggro,DwMeleeAttackRangeInAggro,DwRangeAttackRangeInAggro,DwSightInAggro,DwDefeatAggro,DwBlockedAggro,DwSlideAggro,DwHealAggro,DwMasterUnderAttackAggro,DwMasterDefeatAggro,DwMasterBlockingAggro,DwMasterSlideAggro,DwCOmplusionUnderAttackAggro,dwMaxSummonsMonsterCount,dwReSummonsMonsterTick,dwMaxSummonsMonsterRange,dwSummonsStartPcCount,PatternType
101,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
102,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
103,4,7,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
104,4,7,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
201,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,3,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
202,4,7,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,0,1,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0
203,5,10,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
204,4,11,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,0,1,2,4,3,2,0,0,0,0,0,0,0,0,0,0,1
205,4,7,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
301,4,10,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
302,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
303,4,7,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0
304,5,11,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,0,1,2,4,3,2,0,0,0,0,0,0,0,0,0,0,1
305,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,3,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
401,4,7,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1
402,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0
501,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,20,4,0,2,10,8,5,0,0,0,0,0,0,0,0,0,0,1
502,4,10,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0
503,4,10,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,0,1,2,8,3,2,0,0,0,0,0,0,0,0,0,0,1
504,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,3,0,2,10,2,1,0,0,0,0,0,0,0,0,0,0,0
505,4,10,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,6,2,0,2,10,2,1,0,0,0,0,0,0,0,0,0,0,1
701,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,3,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
801,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,3,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
802,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,3,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
803,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,3,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
901,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
902,4,13,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
1001,4,7,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
1002,0,9,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,0,1,2,4,3,2,0,0,0,0,0,0,0,0,0,0,1
1003,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1004,5,9,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,6,0,1,2,4,3,2,0,0,0,0,0,0,0,0,0,0,1
1005,4,15,20,6,2000,2000,1200,1000,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
1101,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1102,5,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,0,1,2,8,3,2,20,0,0,0,0,0,0,0,0,0,1
1103,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1201,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,6,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1202,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,10,3,0,2,6,4,3,0,0,0,0,0,0,0,0,0,0,1
1203,4,8,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,7,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1301,5,9,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,7,0,1,2,4,3,2,20,0,0,0,0,0,0,0,0,0,1
1302,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,7,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1303,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,7,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1304,5,8,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,7,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1305,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,10,3,0,2,6,4,3,0,0,0,0,0,0,0,0,0,0,1
1401,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,15,3,0,2,8,6,4,0,0,0,0,0,0,0,0,0,0,1
1402,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,7,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
1403,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,10,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1404,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,10,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1
1405,4,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,2,0,0,0,0,0,0,7,0,1,2,4,3,2,0,0,0,0,0,0,0,0,0,0,1
1501,6,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,10,4,0,2,12,5,1,0,0,0,0,0,0,0,0,0,0,1
1502,6,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,10,0,2,2,12,5,2,0,0,0,0,0,0,0,0,0,0,1
1503,6,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,10,4,0,2,12,5,1,0,0,0,0,0,0,0,0,0,0,1
1504,6,8,20,6,2000,2000,1200,1000,0,0,0,50,2,0,4,3,0,0,0,0,0,0,10,4,0,2,12,5,1,0,0,0,0,0,0,0,0,0,0,1
1601,6,8,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,10,5,0,2,12,5,1,0,0,0,0,0,0,0,0,0,0,1
1602,6,8,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,10,0,2,2,12,5,2,0,0,0,0,0,0,0,0,0,0,1
1603,6,8,20,6,2000,2000,1200,1000,0,0,0,50,3,0,4,3,0,0,0,0,0,0,10,5,0,2,12,5,1,0,0,0,0,0,0,0,0,0,0,1
