EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,__MAX__
UNDER_ATTACK,FEAR,RAGE,__MAX__
UNDER_ATTACK,UNCARING,RAGE,__MAX__
UNDER_ATTACK,ANNOYED,RAGE,__MAX__
UNDER_ATTACK,RAGE,BERSERK,__MAX__
UNDER_ATTACK,BERSERK,BERSERK,__MAX__
DEFEAT,REST,BERSERK,__MAX__
DEFEAT,FEAR,RAGE,__MAX__
DEFEAT,UNCARING,BERSERK,__MAX__
DEFEAT,ANNOYED,BERSERK,__MAX__
DEFEAT,RAGE,BERSERK,__MAX__
DEFEAT,BERSERK,BERSERK,__MAX__
BLOCKING,REST,RAGE,__MAX__
BLOCKING,FEAR,RAGE,__MAX__
BLOCKING,UNCARING,RAGE,__MAX__
BLOCKING,ANNOYED,BERSERK,__MAX__
BLOCKING,RAGE,BERSERK,__MAX__
BLOCKING,BERSERK,RAGE,__MAX__
BLOCKED,REST,RAGE,__MAX__
BLOCKED,FEAR,BERSERK,__MAX__
BLOCKED,UNCARING,RAGE,__MAX__
BLOCKED,ANNOYED,BERSERK,__MAX__
BLOCKED,RAGE,BERSERK,__MAX__
BLOCKED,BERSERK,RAGE,__MAX__
SLIDE,REST,RAGE,__MAX__
SLIDE,FEAR,RAGE,__MAX__
SLIDE,UNCARING,RAGE,__MAX__
SLIDE,ANNOYED,RAGE,__MAX__
SLIDE,RAGE,BERSERK,__MAX__
SLIDE,BERSERK,RAGE,__MAX__
HEALED,REST,REST,__MAX__
HEALED,FEAR,REST,__MAX__
HEALED,UNCARING,REST,__MAX__
HEALED,ANNOYED,REST,__MAX__
HEALED,RAGE,REST,__MAX__
HEALED,BERSERK,REST,__MAX__
DEAD,REST,REST,__MAX__
DEAD,FEAR,REST,__MAX__
DEAD,UNCARING,REST,__MAX__
DEAD,ANNOYED,REST,__MAX__
DEAD,RAGE,REST,__MAX__
DEAD,BERSERK,REST,__MAX__
REVIVE,REST,REST,__MAX__
REVIVE,FEAR,REST,__MAX__
REVIVE,UNCARING,REST,__MAX__
REVIVE,ANNOYED,REST,__MAX__
REVIVE,RAGE,REST,__MAX__
REVIVE,BERSERK,REST,__MAX__
PERSUIT_IN,REST,ANNOYED,__MAX__
PERSUIT_IN,FEAR,ANNOYED,__MAX__
PERSUIT_IN,UNCARING,ANNOYED,__MAX__
PERSUIT_IN,ANNOYED,ANNOYED,__MAX__
PERSUIT_IN,RAGE,RAGE,__MAX__
PERSUIT_IN,BERSERK,BERSERK,__MAX__
PERSUIT_OUT,REST,UNCARING,__MAX__
PERSUIT_OUT,FEAR,UNCARING,__MAX__
PERSUIT_OUT,UNCARING,UNCARING,__MAX__
PERSUIT_OUT,ANNOYED,UNCARING,__MAX__
PERSUIT_OUT,RAGE,UNCARING,__MAX__
PERSUIT_OUT,BERSERK,UNCARING,__MAX__
MELEE_ATTACK_IN,REST,ANNOYED,__MAX__
MELEE_ATTACK_IN,FEAR,ANNOYED,__MAX__
MELEE_ATTACK_IN,UNCARING,ANNOYED,__MAX__
MELEE_ATTACK_IN,ANNOYED,ANNOYED,__MAX__
MELEE_ATTACK_IN,RAGE,RAGE,__MAX__
MELEE_ATTACK_IN,BERSERK,BERSERK,__MAX__
MELEE_ATTACK_OUT,REST,FEAR,__MAX__
MELEE_ATTACK_OUT,FEAR,FEAR,__MAX__
MELEE_ATTACK_OUT,UNCARING,FEAR,__MAX__
MELEE_ATTACK_OUT,ANNOYED,FEAR,__MAX__
MELEE_ATTACK_OUT,RAGE,FEAR,__MAX__
MELEE_ATTACK_OUT,BERSERK,FEAR,__MAX__
RANGE_ATTACK_IN,REST,BERSERK,__MAX__
RANGE_ATTACK_IN,FEAR,BERSERK,__MAX__
RANGE_ATTACK_IN,UNCARING,BERSERK,__MAX__
RANGE_ATTACK_IN,ANNOYED,BERSERK,__MAX__
RANGE_ATTACK_IN,RAGE,BERSERK,__MAX__
RANGE_ATTACK_IN,BERSERK,BERSERK,__MAX__
RANGE_ATTACK_OUT,REST,UNCARING,__MAX__
RANGE_ATTACK_OUT,FEAR,UNCARING,__MAX__
RANGE_ATTACK_OUT,UNCARING,UNCARING,__MAX__
RANGE_ATTACK_OUT,ANNOYED,UNCARING,__MAX__
RANGE_ATTACK_OUT,RAGE,UNCARING,__MAX__
RANGE_ATTACK_OUT,BERSERK,UNCARING,__MAX__
MASTER_UNDER_ATTACK,REST,BERSERK,__MAX__
MASTER_UNDER_ATTACK,FEAR,BERSERK,__MAX__
MASTER_UNDER_ATTACK,UNCARING,BERSERK,__MAX__
MASTER_UNDER_ATTACK,ANNOYED,BERSERK,__MAX__
MASTER_UNDER_ATTACK,RAGE,BERSERK,__MAX__
MASTER_UNDER_ATTACK,BERSERK,BERSERK,__MAX__
MASTER_DEFEAT,REST,RAGE,__MAX__
MASTER_DEFEAT,FEAR,RAGE,__MAX__
MASTER_DEFEAT,UNCARING,RAGE,__MAX__
MASTER_DEFEAT,ANNOYED,RAGE,__MAX__
MASTER_DEFEAT,RAGE,RAGE,__MAX__
MASTER_DEFEAT,BERSERK,RAGE,__MAX__
MASTER_BLOCKING,REST,RAGE,__MAX__
MASTER_BLOCKING,FEAR,RAGE,__MAX__
MASTER_BLOCKING,UNCARING,RAGE,__MAX__
MASTER_BLOCKING,ANNOYED,RAGE,__MAX__
MASTER_BLOCKING,RAGE,RAGE,__MAX__
MASTER_BLOCKING,BERSERK,RAGE,__MAX__
MASTER_BLOCKED,REST,RAGE,__MAX__
MASTER_BLOCKED,FEAR,RAGE,__MAX__
MASTER_BLOCKED,UNCARING,RAGE,__MAX__
MASTER_BLOCKED,ANNOYED,RAGE,__MAX__
MASTER_BLOCKED,RAGE,RAGE,__MAX__
MASTER_BLOCKED,BERSERK,RAGE,__MAX__
MASTER_SLIDE,REST,RAGE,__MAX__
MASTER_SLIDE,FEAR,RAGE,__MAX__
MASTER_SLIDE,UNCARING,RAGE,__MAX__
MASTER_SLIDE,ANNOYED,RAGE,__MAX__
MASTER_SLIDE,RAGE,RAGE,__MAX__
MASTER_SLIDE,BERSERK,RAGE,__MAX__
MASTER_FOLLOW_RANGE,REST,FEAR,EXPLORE
MASTER_FOLLOW_RANGE,FEAR,FEAR,EXPLORE
MASTER_FOLLOW_RANGE,UNCARING,FEAR,EXPLORE
MASTER_FOLLOW_RANGE,ANNOYED,FEAR,EXPLORE
MASTER_FOLLOW_RANGE,RAGE,FEAR,EXPLORE
MASTER_FOLLOW_RANGE,BERSERK,FEAR,EXPLORE
MASTER_WARP_RANGE,REST,FEAR,EXPLORE
MASTER_WARP_RANGE,FEAR,FEAR,EXPLORE
MASTER_WARP_RANGE,UNCARING,FEAR,EXPLORE
MASTER_WARP_RANGE,ANNOYED,FEAR,EXPLORE
MASTER_WARP_RANGE,RAGE,FEAR,EXPLORE
MASTER_WARP_RANGE,BERSERK,FEAR,EXPLORE
COMPULSION_UNDERATTACK,REST,BERSERK,__MAX__
COMPULSION_UNDERATTACK,FEAR,BERSERK,__MAX__
COMPULSION_UNDERATTACK,UNCARING,BERSERK,__MAX__
COMPULSION_UNDERATTACK,ANNOYED,BERSERK,__MAX__
COMPULSION_UNDERATTACK,RAGE,BERSERK,__MAX__
COMPULSION_UNDERATTACK,BERSERK,BERSERK,__MAX__
COMPULSION_STOP,REST,UNCARING,__MAX__
COMPULSION_STOP,FEAR,UNCARING,__MAX__
COMPULSION_STOP,UNCARING,UNCARING,__MAX__
COMPULSION_STOP,ANNOYED,UNCARING,__MAX__
COMPULSION_STOP,RAGE,UNCARING,__MAX__
COMPULSION_STOP,BERSERK,UNCARING,__MAX__
