EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,EXPLORE
UNDER_ATTACK,FEAR,RAGE,EXPLORE
UNDER_ATTACK,UNCARING,RAGE,EXPLORE
UNDER_ATTACK,ANNOYED,RAGE,EXPLORE
UNDER_ATTACK,RAGE,RAGE,EXPLORE
UNDER_ATTACK,BERSERK,RAGE,EXPLORE
DEFEAT,REST,BERSERK,EXPLORE
DEFEAT,FEAR,BERSERK,EXPLORE
DEFEAT,UNCARING,BERSERK,EXPLORE
DEFEAT,ANNOYED,BERSERK,EXPLORE
DEFEAT,RAGE,BERSERK,EXPLORE
DEFEAT,BERSERK,BERSERK,EXPLORE
BLOCKING,REST,ANNOYED,EXPLORE
BLOCKING,FEAR,ANNOYED,EXPLORE
BLOCKING,UNCARING,ANNOYED,EXPLORE
BLOCKING,ANNOYED,ANNOYED,EXPLORE
BLOCKING,RAGE,ANNOYED,EXPLORE
BLOCKING,BERSERK,ANNOYED,EXPLORE
BLOCKED,REST,FEAR,EXPLORE
BLOCKED,FEAR,FEAR,EXPLORE
BLOCKED,UNCARING,FEAR,EXPLORE
BLOCKED,ANNOYED,FEAR,EXPLORE
BLOCKED,RAGE,FEAR,EXPLORE
BLOCKED,BERSERK,FEAR,EXPLORE
SLIDE,REST,RAGE,EXPLORE
SLIDE,FEAR,RAGE,EXPLORE
SLIDE,UNCARING,RAGE,EXPLORE
SLIDE,ANNOYED,RAGE,EXPLORE
SLIDE,RAGE,RAGE,EXPLORE
SLIDE,BERSERK,BERSERK,EXPLORE
HEALED,REST,REST,EXPLORE
HEALED,FEAR,REST,EXPLORE
HEALED,UNCARING,REST,EXPLORE
HEALED,ANNOYED,REST,EXPLORE
HEALED,RAGE,REST,EXPLORE
HEALED,BERSERK,REST,EXPLORE
DEAD,REST,REST,EXPLORE
DEAD,FEAR,REST,EXPLORE
DEAD,UNCARING,REST,EXPLORE
DEAD,ANNOYED,REST,EXPLORE
DEAD,RAGE,REST,EXPLORE
DEAD,BERSERK,REST,EXPLORE
REVIVE,REST,REST,EXPLORE
REVIVE,FEAR,REST,EXPLORE
REVIVE,UNCARING,REST,EXPLORE
REVIVE,ANNOYED,REST,EXPLORE
REVIVE,RAGE,REST,EXPLORE
REVIVE,BERSERK,REST,EXPLORE
SIGHT_IN,REST,ANNOYED,EXPLORE
SIGHT_IN,FEAR,ANNOYED,EXPLORE
SIGHT_IN,UNCARING,ANNOYED,EXPLORE
SIGHT_IN,ANNOYED,ANNOYED,EXPLORE
SIGHT_IN,RAGE,BERSERK,EXPLORE
SIGHT_IN,BERSERK,BERSERK,EXPLORE
SIGHT_OUT,REST,FEAR,EXPLORE
SIGHT_OUT,FEAR,FEAR,EXPLORE
SIGHT_OUT,UNCARING,FEAR,EXPLORE
SIGHT_OUT,ANNOYED,FEAR,EXPLORE
SIGHT_OUT,RAGE,FEAR,EXPLORE
SIGHT_OUT,BERSERK,FEAR,EXPLORE
PERSUIT_IN,REST,ANNOYED,EXPLORE
PERSUIT_IN,FEAR,ANNOYED,EXPLORE
PERSUIT_IN,UNCARING,ANNOYED,EXPLORE
PERSUIT_IN,ANNOYED,ANNOYED,EXPLORE
PERSUIT_IN,RAGE,BERSERK,EXPLORE
