EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,MELEE_ATTACK
UNDER_ATTACK,FEAR,RAGE,MELEE_ATTACK
UNDER_ATTACK,UNCARING,RAGE,MELEE_ATTACK
UNDER_ATTACK,ANNOYED,RAGE,MELEE_ATTACK
UNDER_ATTACK,RAGE,RAGE,MELEE_ATTACK
UNDER_ATTACK,BERSERK,BERSERK,MELEE_ATTACK
DEFEAT,REST,BERSERK,MELEE_ATTACK
DEFEAT,FEAR,BERSERK,MELEE_ATTACK
DEFEAT,UNCARING,BERSERK,MELEE_ATTACK
DEFEAT,ANNOYED,BERSERK,MELEE_ATTACK
DEFEAT,RAGE,BERSERK,MELEE_ATTACK
DEFEAT,BERSERK,BERSERK,MELEE_ATTACK
BLOCKING,REST,ANNOYED,MELEE_ATTACK
BLOCKING,FEAR,ANNOYED,MELEE_ATTACK
BLOCKING,UNCARING,ANNOYED,MELEE_ATTACK
BLOCKING,ANNOYED,ANNOYED,MELEE_ATTACK
BLOCKING,RAGE,ANNOYED,MELEE_ATTACK
BLOCKING,BERSERK,ANNOYED,MELEE_ATTACK
BLOCKED,REST,FEAR,MELEE_ATTACK
BLOCKED,FEAR,FEAR,MELEE_ATTACK
BLOCKED,UNCARING,FEAR,MELEE_ATTACK
BLOCKED,ANNOYED,FEAR,MELEE_ATTACK
BLOCKED,RAGE,FEAR,MELEE_ATTACK
BLOCKED,BERSERK,FEAR,MELEE_ATTACK
SLIDE,REST,RAGE,MELEE_ATTACK
SLIDE,FEAR,BERSERK,MELEE_ATTACK
SLIDE,UNCARING,RAGE,MELEE_ATTACK
SLIDE,ANNOYED,BERSERK,MELEE_ATTACK
SLIDE,RAGE,BERSERK,MELEE_ATTACK
SLIDE,BERSERK,RAGE,MELEE_ATTACK
HEALED,REST,REST,__MAX_
HEALED,FEAR,REST,__MAX_
HEALED,UNCARING,REST,__MAX_
HEALED,ANNOYED,REST,__MAX_
HEALED,RAGE,REST,__MAX_
HEALED,BERSERK,REST,__MAX_
DEAD,REST,REST,__MAX_
DEAD,FEAR,REST,__MAX_
DEAD,UNCARING,REST,__MAX_
DEAD,ANNOYED,REST,__MAX_
DEAD,RAGE,REST,__MAX_
DEAD,BERSERK,REST,__MAX_
REVIVE,REST,REST,__MAX_
REVIVE,FEAR,REST,__MAX_
REVIVE,UNCARING,REST,__MAX_
REVIVE,ANNOYED,REST,__MAX_
REVIVE,RAGE,REST,__MAX_
REVIVE,BERSERK,REST,__MAX_
SIGHT_IN,REST,ANNOYED,PERSUIT
SIGHT_IN,FEAR,ANNOYED,PERSUIT
SIGHT_IN,UNCARING,ANNOYED,PERSUIT
SIGHT_IN,ANNOYED,ANNOYED,PERSUIT
SIGHT_IN,RAGE,ANNOYED,PERSUIT
SIGHT_IN,BERSERK,ANNOYED,PERSUIT
SIGHT_OUT,REST,FEAR,__MAX_
SIGHT_OUT,FEAR,FEAR,__MAX_
SIGHT_OUT,UNCARING,FEAR,__MAX_
SIGHT_OUT,ANNOYED,FEAR,__MAX_
SIGHT_OUT,RAGE,FEAR,__MAX_
SIGHT_OUT,BERSERK,FEAR,__MAX_
PERSUIT_IN,REST,ANNOYED,PERSUIT
PERSUIT_IN,FEAR,ANNOYED,PERSUIT
PERSUIT_IN,UNCARING,ANNOYED,PERSUIT
PERSUIT_IN,ANNOYED,ANNOYED,PERSUIT
PERSUIT_IN,RAGE,ANNOYED,PERSUIT
PERSUIT_IN,BERSERK,ANNOYED,PERSUIT
PERSUIT_OUT,REST,FEAR,__MAX_
PERSUIT_OUT,FEAR,FEAR,__MAX_
PERSUIT_OUT,UNCARING,FEAR,__MAX_
PERSUIT_OUT,ANNOYED,FEAR,__MAX_
PERSUIT_OUT,RAGE,FEAR,__MAX_
PERSUIT_OUT,BERSERK,FEAR,__MAX_
MELEE_ATTACK_IN,REST,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,FEAR,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,UNCARING,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,ANNOYED,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,RAGE,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,BERSERK,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_OUT,REST,REST,PERSUIT
MELEE_ATTACK_OUT,FEAR,REST,PERSUIT
MELEE_ATTACK_OUT,UNCARING,REST,PERSUIT
MELEE_ATTACK_OUT,ANNOYED,BERSERK,PERSUIT
MELEE_ATTACK_OUT,RAGE,BERSERK,PERSUIT
MELEE_ATTACK_OUT,BERSERK,BERSERK,PERSUIT
RANGE_ATTACK_IN,REST,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,FEAR,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,UNCARING,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,ANNOYED,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,RAGE,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,BERSERK,BERSERK,RANGE_ATTACK
RANGE_ATTACK_OUT,REST,REST,__MAX_
RANGE_ATTACK_OUT,FEAR,REST,__MAX_
RANGE_ATTACK_OUT,UNCARING,REST,__MAX_
RANGE_ATTACK_OUT,ANNOYED,REST,__MAX_
RANGE_ATTACK_OUT,RAGE,REST,__MAX_
RANGE_ATTACK_OUT,BERSERK,REST,__MAX_
MASTER_UNDER_ATTACK,REST,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,FEAR,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,UNCARING,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,ANNOYED,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,RAGE,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,BERSERK,BERSERK,MELEE_ATTACK
MASTER_DEFEAT,REST,RAGE,MELEE_ATTACK
MASTER_DEFEAT,FEAR,RAGE,MELEE_ATTACK
MASTER_DEFEAT,UNCARING,RAGE,MELEE_ATTACK
MASTER_DEFEAT,ANNOYED,RAGE,MELEE_ATTACK
MASTER_DEFEAT,RAGE,RAGE,MELEE_ATTACK
MASTER_DEFEAT,BERSERK,RAGE,MELEE_ATTACK
MASTER_BLOCKING,REST,RAGE,MELEE_ATTACK
MASTER_BLOCKING,FEAR,RAGE,MELEE_ATTACK
MASTER_BLOCKING,UNCARING,RAGE,MELEE_ATTACK
MASTER_BLOCKING,ANNOYED,RAGE,MELEE_ATTACK
MASTER_BLOCKING,RAGE,RAGE,MELEE_ATTACK
MASTER_BLOCKING,BERSERK,RAGE,MELEE_ATTACK
MASTER_BLOCKED,REST,RAGE,MELEE_ATTACK
MASTER_BLOCKED,FEAR,RAGE,MELEE_ATTACK
MASTER_BLOCKED,UNCARING,RAGE,MELEE_ATTACK
MASTER_BLOCKED,ANNOYED,RAGE,MELEE_ATTACK
MASTER_BLOCKED,RAGE,RAGE,MELEE_ATTACK
MASTER_BLOCKED,BERSERK,RAGE,MELEE_ATTACK
MASTER_SLIDE,REST,RAGE,MELEE_ATTACK
MASTER_SLIDE,FEAR,RAGE,MELEE_ATTACK
MASTER_SLIDE,UNCARING,RAGE,MELEE_ATTACK
MASTER_SLIDE,ANNOYED,RAGE,MELEE_ATTACK
MASTER_SLIDE,RAGE,RAGE,MELEE_ATTACK
MASTER_SLIDE,BERSERK,BERSERK,MELEE_ATTACK
MASTER_FOLLOW_RANGE,REST,FEAR,__MAX_
