EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,CALLTEAM
UNDER_ATTACK,FEAR,RAGE,CALLTEAM
UNDER_ATTACK,UNCARING,RAGE,CALLTEAM
UNDER_ATTACK,ANNOYED,RAGE,CALLTEAM
UNDER_ATTACK,RAGE,BERSERK,MELEE_ATTACK
UNDER_ATTACK,BERSERK,BERSERK,MELEE_ATTACK
DEFEAT,REST,RAGE,CALLTEAM
DEFEAT,FEAR,RAGE,CALLTEAM
DEFEAT,UNCARING,RAGE,CALLTEAM
DEFEAT,ANNOYED,RAGE,CALLTEAM
DEFEAT,RAGE,BERSERK,MELEE_ATTACK
DEFEAT,BERSERK,BERSERK,MELEE_ATTACK
BLOCKING,REST,RAGE,CALLTEAM
BLOCKING,FEAR,RAGE,CALLTEAM
BLOCKING,UNCARING,RAGE,CALLTEAM
BLOCKING,ANNOYED,RAGE,CALLTEAM
BLOCKING,RAGE,BERSERK,MELEE_ATTACK
BLOCKING,BERSERK,RAGE,MELEE_ATTACK
BLOCKED,REST,RAGE,CALLTEAM
BLOCKED,FEAR,RAGE,CALLTEAM
BLOCKED,UNCARING,RAGE,CALLTEAM
BLOCKED,ANNOYED,RAGE,CALLTEAM
BLOCKED,RAGE,BERSERK,MELEE_ATTACK
BLOCKED,BERSERK,RAGE,MELEE_ATTACK
SLIDE,REST,RAGE,CALLTEAM
SLIDE,FEAR,RAGE,CALLTEAM
SLIDE,UNCARING,RAGE,CALLTEAM
SLIDE,ANNOYED,RAGE,CALLTEAM
SLIDE,RAGE,BERSERK,MELEE_ATTACK
SLIDE,BERSERK,RAGE,MELEE_ATTACK
HEALED,REST,REST,EXPLORE
HEALED,FEAR,REST,EXPLORE
HEALED,UNCARING,REST,EXPLORE
HEALED,ANNOYED,REST,EXPLORE
HEALED,RAGE,REST,EXPLORE
HEALED,BERSERK,REST,EXPLORE
DEAD,REST,REST,EXPLORE
DEAD,FEAR,REST,EXPLORE
DEAD,UNCARING,REST,EXPLORE
DEAD,ANNOYED,REST,EXPLORE
DEAD,RAGE,REST,EXPLORE
DEAD,BERSERK,REST,EXPLORE
REVIVE,REST,REST,EXPLORE
REVIVE,FEAR,REST,EXPLORE
REVIVE,UNCARING,REST,EXPLORE
REVIVE,ANNOYED,REST,EXPLORE
REVIVE,RAGE,REST,EXPLORE
REVIVE,BERSERK,REST,EXPLORE
SIGHT_IN,REST,ANNOYED,PERSUIT
SIGHT_IN,FEAR,ANNOYED,PERSUIT
SIGHT_IN,UNCARING,ANNOYED,PERSUIT
SIGHT_IN,ANNOYED,ANNOYED,PERSUIT
SIGHT_IN,RAGE,ANNOYED,PERSUIT
SIGHT_IN,BERSERK,ANNOYED,PERSUIT
SIGHT_OUT,REST,FEAR,EXPLORE
SIGHT_OUT,FEAR,FEAR,EXPLORE
SIGHT_OUT,UNCARING,FEAR,EXPLORE
SIGHT_OUT,ANNOYED,FEAR,EXPLORE
SIGHT_OUT,RAGE,FEAR,EXPLORE
SIGHT_OUT,BERSERK,FEAR,EXPLORE
PERSUIT_IN,REST,ANNOYED,PERSUIT
PERSUIT_IN,FEAR,ANNOYED,PERSUIT
PERSUIT_IN,UNCARING,ANNOYED,PERSUIT
PERSUIT_IN,ANNOYED,ANNOYED,PERSUIT
PERSUIT_IN,RAGE,ANNOYED,PERSUIT

PERSUIT_IN,BERSERK,ANNOYED,PERSUIT
PERSUIT_OUT,REST,FEAR,EXPLORE
PERSUIT_OUT,FEAR,FEAR,EXPLORE
PERSUIT_OUT,UNCARING,FEAR,EXPLORE
PERSUIT_OUT,ANNOYED,FEAR,EXPLORE
PERSUIT_OUT,RAGE,FEAR,EXPLORE
PERSUIT_OUT,BERSERK,FEAR,EXPLORE
MELEE_ATTACK_IN,REST,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,FEAR,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,UNCARING,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,ANNOYED,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,RAGE,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_IN,BERSERK,ANNOYED,MELEE_ATTACK
MELEE_ATTACK_OUT,REST,REST,PERSUIT
MELEE_ATTACK_OUT,FEAR,REST,PERSUIT
MELEE_ATTACK_OUT,UNCARING,REST,PERSUIT
MELEE_ATTACK_OUT,ANNOYED,BERSERK,PERSUIT
MELEE_ATTACK_OUT,RAGE,BERSERK,PERSUIT
MELEE_ATTACK_OUT,BERSERK,BERSERK,PERSUIT
RANGE_ATTACK_IN,REST,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,FEAR,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,UNCARING,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,ANNOYED,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,RAGE,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,BERSERK,BERSERK,RANGE_ATTACK
RANGE_ATTACK_OUT,REST,REST,EXPLORE
RANGE_ATTACK_OUT,FEAR,REST,EXPLORE
RANGE_ATTACK_OUT,UNCARING,REST,EXPLORE
RANGE_ATTACK_OUT,ANNOYED,REST,EXPLORE
RANGE_ATTACK_OUT,RAGE,REST,EXPLORE
RANGE_ATTACK_OUT,BERSERK,REST,EXPLORE
MASTER_UNDER_ATTACK,REST,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,FEAR,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,UNCARING,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,ANNOYED,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,RAGE,BERSERK,MELEE_ATTACK
MASTER_UNDER_ATTACK,BERSERK,BERSERK,MELEE_ATTACK
MASTER_DEFEAT,REST,RAGE,MELEE_ATTACK
MASTER_DEFEAT,FEAR,RAGE,MELEE_ATTACK
MASTER_DEFEAT,UNCARING,RAGE,MELEE_ATTACK
MASTER_DEFEAT,ANNOYED,RAGE,MELEE_ATTACK
MASTER_DEFEAT,RAGE,RAGE,MELEE_ATTACK
MASTER_DEFEAT,BERSERK,RAGE,MELEE_ATTACK
