EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,RANGE_ATTACK
UNDER_ATTACK,FEAR,RAGE,RANGE_ATTACK
UNDER_ATTACK,UNCARING,RAGE,RANGE_ATTACK
UNDER_ATTACK,ANNOYED,RAGE,RANGE_ATTACK
UNDER_ATTACK,RAGE,RAGE,RANGE_ATTACK
UNDER_ATTACK,BERSERK,RAGE,RANGE_ATTACK
DEFEAT,REST,BERSERK,RANGE_ATTACK
DEFEAT,FEAR,BERSERK,RANGE_ATTACK
DEFEAT,UNCARING,BERSERK,RANGE_ATTACK
DEFEAT,ANNOYED,BERSERK,RANGE_ATTACK
DEFEAT,RAGE,BERSERK,RANGE_ATTACK
DEFEAT,BERSERK,BERSERK,RANGE_ATTACK
BLOCKING,REST,ANNOYED,RANGE_ATTACK
BLOCKING,FEAR,ANNOYED,RANGE_ATTACK
BLOCKING,UNCARING,ANNOYED,RANGE_ATTACK
BLOCKING,ANNOYED,ANNOYED,RANGE_ATTACK
BLOCKING,RAGE,ANNOYED,RANGE_ATTACK
BLOCKING,BERSERK,ANNOYED,RANGE_ATTACK
BLOCKED,REST,FEAR,RANGE_ATTACK
BLOCKED,FEAR,FEAR,RANGE_ATTACK
BLOCKED,UNCARING,FEAR,RANGE_ATTACK
BLOCKED,ANNOYED,FEAR,RANGE_ATTACK
BLOCKED,RAGE,FEAR,RANGE_ATTACK
BLOCKED,BERSERK,FEAR,RANGE_ATTACK
SLIDE,REST,RAGE,RANGE_ATTACK
SLIDE,FEAR,BERSERK,RANGE_ATTACK
SLIDE,UNCARING,RAGE,RANGE_ATTACK
SLIDE,ANNOYED,BERSERK,RANGE_ATTACK
SLIDE,RAGE,BERSERK,RANGE_ATTACK
SLIDE,BERSERK,RAGE,RANGE_ATTACK
HEALED,REST,REST,EXPLORE
HEALED,FEAR,REST,EXPLORE
HEALED,UNCARING,REST,EXPLORE
HEALED,ANNOYED,REST,EXPLORE
HEALED,RAGE,REST,EXPLORE
HEALED,BERSERK,REST,EXPLORE
DEAD,REST,REST,EXPLORE
DEAD,FEAR,REST,EXPLORE
DEAD,UNCARING,REST,EXPLORE
DEAD,ANNOYED,REST,EXPLORE
DEAD,RAGE,REST,EXPLORE
DEAD,BERSERK,REST,EXPLORE
REVIVE,REST,REST,EXPLORE
REVIVE,FEAR,REST,EXPLORE
REVIVE,UNCARING,REST,EXPLORE
REVIVE,ANNOYED,REST,EXPLORE
REVIVE,RAGE,REST,EXPLORE
REVIVE,BERSERK,REST,EXPLORE
SIGHT_IN,REST,ANNOYED,PERSUIT
SIGHT_IN,FEAR,ANNOYED,PERSUIT
SIGHT_IN,UNCARING,ANNOYED,PERSUIT
SIGHT_IN,ANNOYED,ANNOYED,PERSUIT
SIGHT_IN,RAGE,ANNOYED,PERSUIT
SIGHT_IN,BERSERK,ANNOYED,PERSUIT
SIGHT_OUT,REST,FEAR,EXPLORE
SIGHT_OUT,FEAR,FEAR,EXPLORE
SIGHT_OUT,UNCARING,FEAR,EXPLORE
SIGHT_OUT,ANNOYED,FEAR,EXPLORE
SIGHT_OUT,RAGE,FEAR,EXPLORE
SIGHT_OUT,BERSERK,FEAR,EXPLORE
PERSUIT_IN,REST,ANNOYED,PERSUIT
PERSUIT_IN,FEAR,ANNOYED,PERSUIT
PERSUIT_IN,UNCARING,ANNOYED,PERSUIT
PERSUIT_IN,ANNOYED,ANNOYED,PERSUIT
PERSUIT_IN,RAGE,ANNOYED,PERSUIT
PERSUIT_IN,BERSERK,ANNOYED,PERSUIT
PERSUIT_OUT,REST,FEAR,EXPLORE
PERSUIT_OUT,FEAR,FEAR,EXPLORE
PERSUIT_OUT,UNCARING,FEAR,EXPLORE
PERSUIT_OUT,ANNOYED,FEAR,EXPLORE
PERSUIT_OUT,RAGE,FEAR,EXPLORE
PERSUIT_OUT,BERSERK,FEAR,EXPLORE
MELEE_ATTACK_IN,REST,ANNOYED,RANGE_ATTACK
MELEE_ATTACK_IN,FEAR,ANNOYED,RANGE_ATTACK
MELEE_ATTACK_IN,UNCARING,ANNOYED,RANGE_ATTACK
MELEE_ATTACK_IN,ANNOYED,ANNOYED,RANGE_ATTACK
MELEE_ATTACK_IN,RAGE,ANNOYED,RANGE_ATTACK
MELEE_ATTACK_IN,BERSERK,ANNOYED,RANGE_ATTACK
MELEE_ATTACK_OUT,REST,REST,EXPLORE
MELEE_ATTACK_OUT,FEAR,REST,EXPLORE
MELEE_ATTACK_OUT,UNCARING,REST,EXPLORE
MELEE_ATTACK_OUT,ANNOYED,REST,EXPLORE
MELEE_ATTACK_OUT,RAGE,REST,EXPLORE
MELEE_ATTACK_OUT,BERSERK,REST,EXPLORE
RANGE_ATTACK_IN,REST,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,FEAR,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,UNCARING,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,ANNOYED,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,RAGE,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,BERSERK,BERSERK,RANGE_ATTACK
RANGE_ATTACK_OUT,REST,REST,PERSUIT
RANGE_ATTACK_OUT,FEAR,REST,PERSUIT
RANGE_ATTACK_OUT,UNCARING,REST,PERSUIT
RANGE_ATTACK_OUT,ANNOYED,REST,PERSUIT
RANGE_ATTACK_OUT,RAGE,REST,PERSUIT
RANGE_ATTACK_OUT,BERSERK,BERSERK,PERSUIT
MASTER_UNDER_ATTACK,REST,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,FEAR,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,UNCARING,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,ANNOYED,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,RAGE,BERSERK,RANGE_ATTACK
