EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,CALLTEAM
UNDER_ATTACK,FEAR,RAGE,CALLTEAM
UNDER_ATTACK,UNCARING,RAGE,CALLTEAM
UNDER_ATTACK,ANNOYED,RAGE,CALLTEAM
UNDER_ATTACK,RAGE,BERSERK,RANGE_ATTACK
UNDER_ATTACK,BERSERK,BERSERK,RANGE_ATTACK
DEFEAT,REST,RAGE,CALLTEAM
DEFEAT,FEAR,RAGE,CALLTEAM
DEFEAT,UNCARING,RAGE,CALLTEAM
DEFEAT,ANNOYED,RAGE,CALLTEAM
DEFEAT,RAGE,BERSERK,RANGE_ATTACK
DEFEAT,BERSERK,BERSERK,RANGE_ATTACK
BLOCKING,REST,RAGE,CALLTEAM
BLOCKING,FEAR,RAGE,CALLTEAM
BLOCKING,UNCARING,RAGE,CALLTEAM
BLOCKING,ANNOYED,RAGE,CALLTEAM
BLOCKING,RAGE,BERSERK,RANGE_ATTACK
BLOCKING,BERSERK,RAGE,RANGE_ATTACK
BLOCKED,REST,RAGE,CALLTEAM
BLOCKED,FEAR,RAGE,CALLTEAM
BLOCKED,UNCARING,RAGE,CALLTEAM
BLOCKED,ANNOYED,RAGE,CALLTEAM
BLOCKED,RAGE,BERSERK,RANGE_ATTACK
BLOCKED,BERSERK,RAGE,RANGE_ATTACK
SLIDE,REST,RAGE,CALLTEAM
SLIDE,FEAR,RAGE,CALLTEAM
SLIDE,UNCARING,RAGE,CALLTEAM
SLIDE,ANNOYED,RAGE,CALLTEAM
SLIDE,RAGE,RAGE,RANGE_ATTACK
SLIDE,BERSERK,BERSERK,RANGE_ATTACK
HEALED,REST,REST,EXPLORE
HEALED,FEAR,REST,EXPLORE
HEALED,UNCARING,REST,EXPLORE
HEALED,ANNOYED,REST,EXPLORE
HEALED,RAGE,REST,EXPLORE
HEALED,BERSERK,REST,EXPLORE
DEAD,REST,REST,EXPLORE
DEAD,FEAR,REST,EXPLORE
DEAD,UNCARING,REST,EXPLORE
DEAD,ANNOYED,REST,EXPLORE
DEAD,RAGE,REST,EXPLORE
DEAD,BERSERK,REST,EXPLORE
REVIVE,REST,REST,EXPLORE
REVIVE,FEAR,REST,EXPLORE
REVIVE,UNCARING,REST,EXPLORE
REVIVE,ANNOYED,REST,EXPLORE
REVIVE,RAGE,REST,EXPLORE
REVIVE,BERSERK,REST,EXPLORE
SIGHT_IN,REST,ANNOYED,PERSUIT
SIGHT_IN,FEAR,ANNOYED,PERSUIT
SIGHT_IN,UNCARING,ANNOYED,PERSUIT
SIGHT_IN,ANNOYED,ANNOYED,PERSUIT
SIGHT_IN,RAGE,ANNOYED,PERSUIT
SIGHT_IN,BERSERK,ANNOYED,PERSUIT
SIGHT_OUT,REST,FEAR,EXPLORE
SIGHT_OUT,FEAR,FEAR,EXPLORE
SIGHT_OUT,UNCARING,FEAR,EXPLORE
SIGHT_OUT,ANNOYED,FEAR,EXPLORE
SIGHT_OUT,RAGE,FEAR,EXPLORE
SIGHT_OUT,BERSERK,FEAR,EXPLORE
PERSUIT_IN,REST,ANNOYED,PERSUIT
PERSUIT_IN,FEAR,ANNOYED,PERSUIT
PERSUIT_IN,UNCARING,ANNOYED,PERSUIT
PERSUIT_IN,ANNOYED,ANNOYED,PERSUIT
PERSUIT_IN,RAGE,ANNOYED,PERSUIT

PERSUIT_IN,BERSERK,ANNOYED,PERSUIT
PERSUIT_OUT,REST,FEAR,EXPLORE
PERSUIT_OUT,FEAR,FEAR,EXPLORE
PERSUIT_OUT,UNCARING,FEAR,EXPLORE
PERSUIT_OUT,ANNOYED,FEAR,EXPLORE
PERSUIT_OUT,RAGE,FEAR,EXPLORE
PERSUIT_OUT,BERSERK,FEAR,EXPLORE
MELEE_ATTACK_IN,REST,ANNOYED,CALLTEAM
MELEE_ATTACK_IN,FEAR,ANNOYED,CALLTEAM
MELEE_ATTACK_IN,UNCARING,ANNOYED,CALLTEAM
MELEE_ATTACK_IN,ANNOYED,RAGE,RANGE_ATTACK
MELEE_ATTACK_IN,RAGE,BERSERK,RANGE_ATTACK
MELEE_ATTACK_IN,BERSERK,BERSERK,RANGE_ATTACK
MELEE_ATTACK_OUT,REST,REST,EXPLORE
MELEE_ATTACK_OUT,FEAR,REST,EXPLORE
MELEE_ATTACK_OUT,UNCARING,REST,EXPLORE
MELEE_ATTACK_OUT,ANNOYED,REST,EXPLORE
MELEE_ATTACK_OUT,RAGE,REST,EXPLORE
MELEE_ATTACK_OUT,BERSERK,REST,EXPLORE
RANGE_ATTACK_IN,REST,ANNOYED,CALLTEAM
RANGE_ATTACK_IN,FEAR,ANNOYED,CALLTEAM
RANGE_ATTACK_IN,UNCARING,ANNOYED,CALLTEAM
RANGE_ATTACK_IN,ANNOYED,RAGE,RANGE_ATTACK
RANGE_ATTACK_IN,RAGE,BERSERK,RANGE_ATTACK
RANGE_ATTACK_IN,BERSERK,BERSERK,RANGE_ATTACK
RANGE_ATTACK_OUT,REST,REST,PERSUIT
RANGE_ATTACK_OUT,FEAR,REST,PERSUIT
RANGE_ATTACK_OUT,UNCARING,REST,PERSUIT
RANGE_ATTACK_OUT,ANNOYED,REST,PERSUIT
RANGE_ATTACK_OUT,RAGE,REST,PERSUIT
RANGE_ATTACK_OUT,BERSERK,BERSERK,PERSUIT
MASTER_UNDER_ATTACK,REST,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,FEAR,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,UNCARING,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,ANNOYED,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,RAGE,BERSERK,RANGE_ATTACK
MASTER_UNDER_ATTACK,BERSERK,BERSERK,RANGE_ATTACK
MASTER_DEFEAT,REST,RAGE,RANGE_ATTACK
MASTER_DEFEAT,FEAR,RAGE,RANGE_ATTACK
MASTER_DEFEAT,UNCARING,RAGE,RANGE_ATTACK
MASTER_DEFEAT,ANNOYED,RAGE,RANGE_ATTACK
MASTER_DEFEAT,RAGE,RAGE,RANGE_ATTACK
MASTER_DEFEAT,BERSERK,RAGE,RANGE_ATTACK
MASTER_BLOCKING,REST,RAGE,RANGE_ATTACK
