EVENT,CURRENT_STATE,NEXT_STATE,NEXT_MODE
UNDER_ATTACK,REST,RAGE,__MAX_
UNDER_ATTACK,FEAR,RAGE,__MAX_
UNDER_ATTACK,UNCARING,RAGE,__MAX_
UNDER_ATTACK,ANNOYED,RAGE,__MAX_
UNDER_ATTACK,RAGE,BERSERK,__MAX_
UNDER_ATTACK,BERSERK,BERSERK,__MAX_
DEFEAT,REST,BERSERK,__MAX_
DEFEAT,FEAR,RAGE,__MAX_
DEFEAT,UNCARING,BERSERK,__MAX_
DEFEAT,ANNOYED,BERSERK,__MAX_
DEFEAT,RAGE,BERSERK,__MAX_
DEFEAT,BERSERK,BERSERK,__MAX_
BLOCKING,REST,RAGE,__MAX_
BLOCKING,FEAR,RAGE,__MAX_
BLOCKING,UNCARING,RAGE,__MAX_
BLOCKING,ANNOYED,BERSERK,__MAX_
BLOCKING,RAGE,BERSERK,__MAX_
BLOCKING,BERSERK,RAGE,__MAX_
BLOCKED,REST,RAGE,__MAX_
BLOCKED,FEAR,BERSERK,__MAX_
BLOCKED,UNCARING,RAGE,__MAX_
BLOCKED,ANNOYED,BERSERK,__MAX_
BLOCKED,RAGE,BERSERK,__MAX_
BLOCKED,BERSERK,RAGE,__MAX_
SLIDE,REST,RAGE,__MAX_
SLIDE,FEAR,RAGE,__MAX_
SLIDE,UNCARING,RAGE,__MAX_
SLIDE,ANNOYED,RAGE,__MAX_
SLIDE,RAGE,BERSERK,__MAX_
SLIDE,BERSERK,RAGE,__MAX_
HEALED,REST,REST,__MAX_
HEALED,FEAR,REST,__MAX_
HEALED,UNCARING,REST,__MAX_
HEALED,ANNOYED,REST,__MAX_
HEALED,RAGE,REST,__MAX_
HEALED,BERSERK,REST,__MAX_
DEAD,REST,REST,__MAX_
DEAD,FEAR,REST,__MAX_
DEAD,UNCARING,REST,__MAX_
DEAD,ANNOYED,REST,__MAX_
DEAD,RAGE,REST,__MAX_
DEAD,BERSERK,REST,__MAX_
REVIVE,REST,REST,__MAX_
REVIVE,FEAR,REST,__MAX_
REVIVE,UNCARING,REST,__MAX_
REVIVE,ANNOYED,REST,__MAX_
REVIVE,RAGE,REST,__MAX_
REVIVE,BERSERK,REST,__MAX_
PERSUIT_IN,REST,ANNOYED,__MAX_
PERSUIT_IN,FEAR,ANNOYED,__MAX_
PERSUIT_IN,UNCARING,ANNOYED,__MAX_
PERSUIT_IN,ANNOYED,ANNOYED,__MAX_
PERSUIT_IN,RAGE,RAGE,__MAX_
PERSUIT_IN,BERSERK,BERSERK,__MAX_
PERSUIT_OUT,REST,UNCARING,__MAX_
PERSUIT_OUT,FEAR,UNCARING,__MAX_
PERSUIT_OUT,UNCARING,UNCARING,__MAX_
PERSUIT_OUT,ANNOYED,UNCARING,__MAX_
PERSUIT_OUT,RAGE,UNCARING,__MAX_
PERSUIT_OUT,BERSERK,UNCARING,__MAX_
MELEE_ATTACK_IN,REST,ANNOYED,__MAX_
MELEE_ATTACK_IN,FEAR,ANNOYED,__MAX_
MELEE_ATTACK_IN,UNCARING,ANNOYED,__MAX_
MELEE_ATTACK_IN,ANNOYED,ANNOYED,__MAX_
MELEE_ATTACK_IN,RAGE,RAGE,__MAX_
MELEE_ATTACK_IN,BERSERK,BERSERK,__MAX_
MELEE_ATTACK_OUT,REST,FEAR,__MAX_
MELEE_ATTACK_OUT,FEAR,FEAR,__MAX_
MELEE_ATTACK_OUT,UNCARING,FEAR,__MAX_
MELEE_ATTACK_OUT,ANNOYED,FEAR,__MAX_
MELEE_ATTACK_OUT,RAGE,FEAR,__MAX_
MELEE_ATTACK_OUT,BERSERK,FEAR,__MAX_
RANGE_ATTACK_IN,REST,BERSERK,__MAX_
RANGE_ATTACK_IN,FEAR,BERSERK,__MAX_
RANGE_ATTACK_IN,UNCARING,BERSERK,__MAX_
RANGE_ATTACK_IN,ANNOYED,BERSERK,__MAX_
RANGE_ATTACK_IN,RAGE,BERSERK,__MAX_
RANGE_ATTACK_IN,BERSERK,BERSERK,__MAX_
RANGE_ATTACK_OUT,REST,UNCARING,__MAX_
RANGE_ATTACK_OUT,FEAR,UNCARING,__MAX_
RANGE_ATTACK_OUT,UNCARING,UNCARING,__MAX_
RANGE_ATTACK_OUT,ANNOYED,UNCARING,__MAX_
RANGE_ATTACK_OUT,RAGE,UNCARING,__MAX_
RANGE_ATTACK_OUT,BERSERK,UNCARING,__MAX_
MASTER_UNDER_ATTACK,REST,BERSERK,__MAX_
MASTER_UNDER_ATTACK,FEAR,BERSERK,__MAX_
MASTER_UNDER_ATTACK,UNCARING,BERSERK,__MAX_
MASTER_UNDER_ATTACK,ANNOYED,BERSERK,__MAX_
MASTER_UNDER_ATTACK,RAGE,BERSERK,__MAX_
MASTER_UNDER_ATTACK,BERSERK,BERSERK,__MAX_
MASTER_DEFEAT,REST,RAGE,__MAX_
MASTER_DEFEAT,FEAR,RAGE,__MAX_
MASTER_DEFEAT,UNCARING,RAGE,__MAX_
MASTER_DEFEAT,ANNOYED,RAGE,__MAX_
MASTER_DEFEAT,RAGE,RAGE,__MAX_
MASTER_DEFEAT,BERSERK,RAGE,__MAX_
MASTER_BLOCKING,REST,RAGE,__MAX_
MASTER_BLOCKING,FEAR,RAGE,__MAX_
MASTER_BLOCKING,UNCARING,RAGE,__MAX_
MASTER_BLOCKING,ANNOYED,RAGE,__MAX_
MASTER_BLOCKING,RAGE,RAGE,__MAX_
MASTER_BLOCKING,BERSERK,RAGE,__MAX_
MASTER_BLOCKED,REST,RAGE,__MAX_
MASTER_BLOCKED,FEAR,RAGE,__MAX_
MASTER_BLOCKED,UNCARING,RAGE,__MAX_
MASTER_BLOCKED,ANNOYED,RAGE,__MAX_
MASTER_BLOCKED,RAGE,RAGE,__MAX_
MASTER_BLOCKED,BERSERK,RAGE,__MAX_
MASTER_SLIDE,REST,RAGE,__MAX_
MASTER_SLIDE,FEAR,RAGE,__MAX_
MASTER_SLIDE,UNCARING,RAGE,__MAX_
MASTER_SLIDE,ANNOYED,RAGE,__MAX_
MASTER_SLIDE,RAGE,RAGE,__MAX_
MASTER_SLIDE,BERSERK,RAGE,__MAX_
MASTER_FOLLOW_RANGE,REST,FEAR,__MAX_
MASTER_FOLLOW_RANGE,FEAR,FEAR,__MAX_
MASTER_FOLLOW_RANGE,UNCARING,FEAR,__MAX_
MASTER_FOLLOW_RANGE,ANNOYED,FEAR,__MAX_
MASTER_FOLLOW_RANGE,RAGE,FEAR,__MAX_
MASTER_FOLLOW_RANGE,BERSERK,FEAR,__MAX_
MASTER_WARP_RANGE,REST,FEAR,EXPLORE
MASTER_WARP_RANGE,FEAR,FEAR,EXPLORE
MASTER_WARP_RANGE,UNCARING,FEAR,EXPLORE
MASTER_WARP_RANGE,ANNOYED,FEAR,EXPLORE
MASTER_WARP_RANGE,RAGE,FEAR,EXPLORE
MASTER_WARP_RANGE,BERSERK,FEAR,EXPLORE
COMPULSION_UNDERATTACK,REST,BERSERK,__MAX_
COMPULSION_UNDERATTACK,FEAR,BERSERK,__MAX_
COMPULSION_UNDERATTACK,UNCARING,BERSERK,__MAX_
COMPULSION_UNDERATTACK,ANNOYED,BERSERK,__MAX_
COMPULSION_UNDERATTACK,RAGE,BERSERK,__MAX_
COMPULSION_UNDERATTACK,BERSERK,BERSERK,__MAX_
COMPULSION_STOP,REST,UNCARING,__MAX_
COMPULSION_STOP,FEAR,UNCARING,__MAX_
COMPULSION_STOP,UNCARING,UNCARING,__MAX_
COMPULSION_STOP,ANNOYED,UNCARING,__MAX_
COMPULSION_STOP,RAGE,UNCARING,__MAX_
COMPULSION_STOP,BERSERK,UNCARING,__MAX_
