2007-01-04 17:45,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,5229,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit
3771,箭,0,4,15,0,1039,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,5,1,2,200,0,50,150,0,0,0,0,0,0,0,0,5230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3772,箭(大筒),0,4,15,0,1039,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,50,1,2,600,0,50,400,0,0,0,0,0,0,0,0,5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3786,弩箭,0,4,16,0,1040,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,5,1,2,150,0,30,120,0,0,0,0,0,0,0,0,5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3787,弩箭(大筒),0,4,16,0,1040,16,0100-0000-0000-0000-0000-0000-0000-0000,1500,0,1,0,50,1,2,500,0,30,300,0,0,0,0,0,0,0,0,5233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3801,生命药水,0,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,320,1,0,150,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3802,魔力药水,0,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1700,320,1,0,150,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3803,强力生命药水,0,0,1,0,1,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,1,0,750,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3804,强力魔力药水,0,0,2,0,2,37,1111-1111-1111-1111-1111-1111-1111-1111,1800,480,1,0,750,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3805,大号生命药水,0,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,1,0,3300,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3806,大号魔力药水,0,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,2000,820,1,0,3300,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3807,强效生命药水,0,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,1,0,9000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3808,强效魔力药水,0,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1600,1,0,9000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3809,特效生命药水,0,0,1,0,1,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1500,1,0,21000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,特效魔力药水,0,0,2,0,2,38,1111-1111-1111-1111-1111-1111-1111-1111,3200,1500,1,0,21000,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841,蓝心（小）,2,0,12,0,12,24,1111-1111-1111-1111-1111-1111-1111-1111,5000,204,1,0,500,1,1,5,1,1,1,0,0,0,0,0,0,0,0,5244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
