39279.65208,Location_Name,MapIndex,Pos_X,Pos_Y,Direction,Pos_X,Pos_Y,Direction
1,Braiken Castle,0,232,158,224,232,158,224
2,Braiken Castle,0,294,374,224,294,374,224
3,Braiken Castle,0,336,216,224,336,216,224
4,Braiken Castle,0,232,158,224,232,158,224
5,Braiken Castle,0,294,374,224,294,374,224
6,Braiken Castle,0,336,216,224,336,216,224
7,Loa Castle,7,150,342,0,150,342,0
8,Loa Castle,7,354,146,96,354,146,96
9,Loa Castle,7,336,366,32,336,366,32
10,Loa Castle,7,150,342,0,150,342,0
11,Loa Castle,7,354,146,96,354,146,96
12,Loa Castle,7,336,366,32,336,366,32
15,Braiken Castle Underground Prison,16,256,203,0,256,203,0
101,Loa Castle 2,7,221,262,0,221,262,0
102,Braiken Castle 2,0,231,269,0,231,269,0
103,Denebe,3,465,281,0,465,281,0
104,Parca Temple,6,416,333,0,416,333,0
105,Norak Cave 1st Fl.,2,269,361,0,269,361,0
106,Castor Cave 1st Fl.,10,42,456,0,42,456,0
109,Frozen Valley of Vengeance,11,231,334,0,231,334,0
110,Loa Castle 1,7,282,219,0,282,219,0
111,Braiken Castle 1,0,296,237,0,296,237,0
112,Draco Desert,13,224,187,0,224,187,0
113,Crespo,12,130,304,0,130,304,0
114,Requies Beach (Plains),17,40,469,0,40,469,0
115,Requies Beach (Dock),17,299,118,0,299,118,0
116,Avalon Island,18,391,359,0,391,359,0
117,Infinite Hunting,24,125,125,0,125,125,0
118,Treasure of Crespo,25,292,178,0,292,178,0
119,Aquarius,26,29,398,0,29,398,0
120,Braiken Castle,0,152,328,128,152,328,128
121,Loa Castle,7,155,155,160,155,155,160
122,Norak Cave 2nd Fl.,14,480,472,64,480,472,64
123,Castor Cave 2nd Fl.,15,26,470,160,26,470,160
124,Python Castle,19,27,27,160,27,27,160
125,Tomb of the Black Dragon,20,489,256,160,489,256,160
126,Cursed Maze,21,233,25,160,233,25,160
127,Space of Pilgrimage,47,479,38,64,479,38,64
1001,Braiken Castle,0,22,254,0,22,254,0
1002,North Ares,1,459,241,64,459,241,64
1003,Denebe,3,20,357,0,20,357,0
1004,Heiharp,5,470,46,0,470,46,0
1005,North Ares,1,472,239,0,472,239,0
1006,Braiken Castle,0,43,256,192,43,256,192
1007,North Ares,1,30,181,0,30,181,0
1008,Denebe,3,445,350,64,445,350,64
1011,Den of Norak,2,339,287,0,339,287,0
1012,Denebe,3,36,455,192,36,455,192
1015,Den of Norak,2,290,465,0,290,465,0
1016,Heiharp,5,390,474,0,390,474,0
1017,Denebe,3,454,353,0,454,353,0
1018,North Ares,1,52,184,192,52,184,192
1019,Denebe,3,26,447,0,26,447,0
1020,Den of Norak,2,337,296,128,337,296,128
1021,Denebe,0,20,357,0,20,357,0
1022,Heiharp,5,470,46,0,470,46,0
1023,Denebe,3,483,166,0,483,166,0
1024,North Morte,8,50,458,224,50,458,224
1025,Denebe,3,38,38,0,38,38,0
1026,Castor Cave,10,207,433,64,207,433,64
1027,East Ares,4,477,156,0,477,156,0
1028,Braiken Castle,0,486,451,0,486,451,0
1029,East Ares,4,186,75,0,186,75,0
1030,North Ares,1,241,349,0,241,349,0
1031,East Ares,4,32,106,0,32,106,0
1032,Norak Cave,2,451,314,0,451,314,0
1035,Heiharp,5,470,27,0,470,27,0
1036,Denebe,3,40,351,224,40,351,224
1039,Heiharp,5,71,260,0,71,260,0
1040,Parca Temple,6,431,256,64,431,256,64
1041,Heiharp,5,6,159,0,6,159,0
1042,Frozen Valley of Vengeance,11,475,467,64,475,467,64
1043,Parca Temple,6,451,255,0,451,255,0
1044,Heiharp,5,84,263,192,84,263,192
1045,Frozen Valley of Vengeance,11,484,464,0,484,464,0
1046,Heiharp,5,26,161,192,26,161,192
1047,Frozen Valley of Vengeance,11,0,0,0,0,0,0
1048,Crespo,12,406,62,128,406,62,128
1049,Crespo,12,404,51,0,404,51,0
1050,Frozen Valley of Vengeance,11,70,91,192,70,91,192
1051,Loa Castle,7,27,250,0,27,250,0
1052,North Morte,8,404,266,64,404,266,64
1055,North Morte,8,433,263,0,433,263,0
1056,Loa Castle,7,66,254,192,66,254,192
1059,North Morte,8,37,474,0,37,474,0
1060,Denebe,3,473,173,64,473,173,64
1061,West Morte,9,446,477,0,446,477,0
1062,Loa Castle,7,233,21,0,233,21,0
1063,West Morte,9,67,467,0,67,467,0
1064,North Morte,8,77,99,0,77,99,0
1065,West Morte,9,90,421,0,90,421,0
1066,Castor Cave,10,443,264,0,443,264,0
1069,Castor Cave,10,214,431,0,214,431,0
1070,Denebe,3,47,42,0,47,42,0
1071,Castor Cave,10,39,166,0,39,166,0
1072,Heiharp,5,379,27,0,379,27,0
1073,Den of Norak,2,260,332,0,260,332,0
1074,Norak Cave 2nd Fl.,14,484,471,64,484,471,64
1075,Norak Cave 2nd Fl.,14,490,469,0,490,469,0
1076,Den of Norak,2,261,344,128,261,344,128
1077,Castor Cave,10,39,415,0,39,415,0
1078,Castor Cave 2nd Fl.,15,26,467,128,26,467,128
1079,Castor Cave 2nd Fl.,15,24,459,0,24,459,0
1080,Castor Cave,10,41,430,128,41,430,128
1081,Norak Cave 2nd Fl.,14,0,0,0,0,0,0
1082,Draco Desert,13,56,435,224,56,435,224
1083,Draco Desert,13,51,442,0,51,442,0
1084,Norak Cave 2nd Fl.,14,478,28,128,478,28,128
1085,Castor Cave 2nd Fl.,15,0,0,0,0,0,0
1086,Draco Desert,13,55,55,160,55,55,160
1087,Draco Desert,13,47,47,0,47,47,0
1088,Castor Cave 2nd Fl.,15,25,105,64,25,105,64
1089,Braiken Castle,0,156,188,0,156,188,0
1090,Braiken Castle Underground Prison,16,255,292,0,255,292,0
1091,Braiken Castle Underground Prison,16,254,302,0,254,302,0
1092,Braiken Castle,0,168,188,192,168,188,192
1093,North Ares,1,16,446,0,16,446,0
1094,Den of Norak,2,451,314,64,451,314,64
1095,Den of Norak,2,463,308,0,463,308,0
1096,North Ares,1,23,447,192,23,447,192
1097,North Morte,8,21,161,0,21,161,0
1098,Castor Cave,10,443,264,128,443,264,128
1099,Castor Cave,10,442,249,0,442,249,0
1100,North Morte,8,23,176,128,23,176,128
1101,Denebe,3,15,143,0,15,143,0
1102,Requies Beach,17,494,494,32,494,494,32
1103,Requies Beach,17,497,498,0,497,498,0
1104,Denebe,3,22,150,160,22,150,160
1105,North Ares,1,0,0,0,0,0,0
1106,North Ares,1,494,112,0,494,112,0
1107,North Ares,1,0,0,0,0,0,0
1108,North Ares,1,354,73,0,354,73,0
1109,North Ares,1,0,0,0,0,0,0
1110,North Ares,1,322,111,0,322,111,0
1111,North Ares,1,0,0,0,0,0,0
1112,North Ares,1,183,74,0,183,74,0
1113,North Ares,1,0,0,0,0,0,0
