Class,Servant_Index,Skill_Index,Max_Gage,Attack_PC,Attack_Monster,Kill_PC,Kill_Monster,Icon_Index
3,4121,621,10000,450,115,2050,200,34
3,4122,621,10000,450,115,2050,200,34
3,4123,621,10000,450,115,2050,200,34
3,4124,621,10000,450,115,2050,200,34
3,4125,621,10000,450,115,2050,200,34
3,4141,661,10000,450,105,2050,200,32
3,4142,661,10000,450,105,2050,200,32
3,4143,661,10000,450,105,2050,200,32
3,4144,661,10000,450,105,2050,200,32
3,4145,661,10000,450,105,2050,200,32
3,4161,622,10000,325,70,1750,160,33
3,4162,622,10000,325,70,1750,160,33
3,4163,622,10000,325,70,1750,160,33
3,4164,622,10000,325,70,1750,160,33
3,4165,622,10000,325,70,1750,160,33
3,4181,662,10000,375,105,1900,180,35
3,4182,662,10000,375,105,1900,180,35
3,4183,662,10000,375,105,1900,180,35
3,4184,662,10000,375,105,1900,180,35
3,4185,662,10000,375,105,1900,180,35
