2006. 1. 24. 15:2:1,30001,30002,30003,31001,31002,31003,31004,31005,32001,32002,32003,32004,32005,32006,32007,32008,33001,33002,33003,33004,33005,33006,33007,33008,33009,33010,34001,34002,34003,35001,35002,35003,35004,35005,35006,35007,35008,35009,35010,35011,35012,35013,36001,36002,36003,36004,36005,36006,36007,36008,36009,36010,36011,36012,36013,36014,36015,36016,36017,36018,36019,36020,36050,36051,36052,36053,36054,36055,36056,36057,36058,36059,36060,36061,36062,36063,36064,36065,36066,36067,36068,36069,36070,36071,36072,36073,36074,36075,36076,36077,36078,36079,36080,36081,36082,36083,36084,36085,36086,36087,36088,36089,36090,36091,36092,36093,36100,36200,36201,36300,36301,36400,36401,36402,36403,36404,36500
Name,东门,西门,南门,精神守护石,大地守护石,潮汐守护石,飓风守护石,烈火守护石,钢铁门,木门,钢铁门,木门,钢铁门,木门,钢铁门,木门,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,警戒障碍物,有裂缝的墙,有裂缝的墙,苦难之盒,地洞副本通道,地洞副本通道,地洞副本通道,地洞副本通道,地洞副本通道,地洞副本通道,小木门,小木门,小木门,小木门,小木门,小木门,小木门,封印蜡烛,第一道封印之门,门,门,门,门,门,门,门,门,门,门,门,门,门,门,门,门,门,第二道封印之门,?? ??,第一堵城墙,第二堵城墙,第三堵城墙,第一堵城墙,第二堵城墙,第三堵城墙,第一堵城墙,第二堵城墙,第三堵城墙,第一堵城墙,第二堵城墙,第三堵城墙,藤蔓城墙,藤蔓城墙,魔力罩,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,篱笆城墙,内城大门,内城大门,内城大门,内城大门,内城大门,巨蛇法老守护塔,封闭的门,首领房 隐藏方块,火焰城墙,奥鲁菲娜,古代石壁,奥鲁菲娜,防御墙,魔力罩 隐藏方块,藤蔓 隐藏方块,篱笆城墙,篱笆城墙,隐藏方块,火焰城墙,魔法阵守护者,魔法阵守护者,祈祷之礼堂,祈祷之礼堂,警戒障碍物,警戒障碍物,被锁的门,被锁的门,被锁的门,铁栏门
Property,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rank,2,2,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Material,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Level,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,115,115,115,115,10,10,10,10,10,10
MaxHP,500000,500000,1000000,20000,20000,20000,20000,20000,10000000,100000,10000000,100000,10000000,100000,10000000,100000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,600000,600000,50000,10000000,10000000,10000000,10000000,10000000,10000000,3000,3000,3000,3000,3000,3000,3000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,50000,50000,115000,115000,195000,195000,300000,300000,410000,410000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,600000,10000000,600000,10000000,10000000,10000000,550000,550000,10000000,10000000,1000000,10000000,10000000,10000000,1500,2000,10000000,10000000,10000000,10000000
DefaultHP,100000,100000,300000,20000,20000,20000,20000,20000,10000000,100000,10000000,100000,10000000,100000,10000000,100000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,600000,600000,50000,10000000,10000000,10000000,10000000,10000000,10000000,3000,3000,3000,3000,3000,3000,3000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,50000,50000,115000,115000,195000,195000,300000,300000,410000,410000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,600000,10000000,600000,10000000,10000000,10000000,550000,550000,10000000,10000000,1000000,10000000,10000000,10000000,1500,2000,10000000,10000000,10000000,10000000
HPRecovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ActionType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disappear,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WidthSize,4,4,4,2,2,2,2,2,5,5,1,1,5,5,5,5,3,1,1,1,1,1,3,1,1,3,5,1,0,4,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,7,7,7,7,7,7,7,7,4,7,4,4,3,5,5,5,5,5,5,5,5,5,5,3,3,3,1,3,3,1,3,1,1,2,1,6,2,3,5,5,7,32,1,1,3,3,4,3,1,6,2,1
HeightSize,4,4,4,2,2,2,2,2,1,1,7,5,4,4,7,5,1,3,3,3,3,3,1,3,3,1,1,5,0,3,3,3,3,3,3,1,1,1,1,1,1,1,5,5,1,1,4,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,7,7,7,4,4,4,4,4,4,4,4,7,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,9,25,1,9,1,3,2,3,1,1,9,1,1,1,3,3,1,1,6,1,6,3
Defence_Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defence_Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GuardRate,40,40,40,10,10,10,10,10,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,10,10,10,10,10,10,10,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,40,40,40,40,40,40
GuardEfficiency,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
BlockRate,30,30,30,0,0,0,0,0,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,0,30,0,0,30,30,0,0,30,0,0,0,0,0,0,0,30,30,30,30
PhysicalResist,94,94,94,99,99,99,99,99,100,50,100,50,100,50,100,50,0,0,0,0,0,0,0,0,0,0,70,70,50,100,100,100,100,100,100,70,70,70,70,70,70,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,100,100,100,100,100,100,0,0,100,100,100,100
LightResist,100,100,100,100,100,100,100,100,100,50,100,50,100,50,100,50,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,100,100,100,100,100,100,0,0,100,100,100,100
FireResist,100,100,100,100,100,100,100,100,100,50,100,50,100,50,100,50,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,100,100,100,100,100,100,0,0,100,100,100,100
IceResist,100,100,100,100,100,100,100,100,100,50,100,50,100,50,100,50,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,100,100,100,100,100,100,0,0,100,100,100,100
PoisonResist,100,100,100,100,100,100,100,100,100,50,100,50,100,50,100,50,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,100,100,100,100,100,100,0,0,100,100,100,100
CurseResist,100,100,100,100,100,100,100,100,100,50,100,50,100,50,100,50,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,100,100,100,100,100,100,0,0,100,100,100,100
ReflectDamage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
