Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Name,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish,Weak Fish,Average Fish,Strong Fish
Descript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Exp,10,14,31,14,31,36,31,36,279,23,109,330,162,250,362,37,46,61,38,57,75,46,61,88,57,88,146,61,146,319,81,109,170,95,131,170,109,154,205,131,187,241,154,241,351
MaxHP,106,112,125,112,125,129,125,129,174,119,154,179,161,171,182,130,137,146,131,144,149,137,146,151,144,151,159,146,159,178,150,154,162,152,157,162,154,160,166,157,164,170,160,170,181
StartHP,55,60,80,68,82,91,75,84,122,72,101,126,102,117,133,78,90,103,79,94,105,85,98,109,87,99,112,88,104,125,90,101,114,92,103,114,93,104,117,95,107,119,101,116,133
Recovery,3,3,4,3,4,4,4,4,5,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,5,5
Strength,11,13,22,13,22,25,22,25,146,17,67,178,88,130,200,26,35,49,27,45,55,35,49,60,45,60,81,49,81,171,57,67,92,62,75,92,67,85,107,75,99,125,85,125,192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResistRatio,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,65000,70000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000,60000,70000,80000
ResistTimeMin,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
ResistTimeMax,1224,1248,1300,1248,1300,1316,1300,1316,1496,1276,1416,1520,1444,1484,1535,1320,1348,1384,1324,1376,1396,1348,1384,1404,1376,1404,1436,1384,1436,1515,1400,1416,1448,1408,1428,1448,1416,1440,1464,1428,1456,1480,1440,1480,1530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DelayTimeMin,800,800,800,800,800,1100,800,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
