ImageIndex,Count,ItemIndex,Cash,String,Description,Waring,Packageitemindex,Packageitemcash
115,7,60141,1030,0,30 days,1,63501,2120
,,60136,950,0,1 EA,0,0,0
,,62508,380,0,10 days,0,0,0
,,60060,110,0,1000 EA,0,0,0
,,60062,110,0,1000 EA,0,0,0
,,60142,380,0,50 EA,1,0,0
,,60139,250,0,4 EA,0,0,0
116,4,60141,1030,0,30 days,1,63502,960
,,60060,110,0,1000 EA,0,0,0
,,60062,110,0,1000 EA,0,0,0
,,60138,250,0,1 EA,0,0,0
117,3,60141,1030,0,30 days,0,63503,1740
,,60137,1140,0,1 EA,0,0,0
,,60140,0,0,5 EA,0,0,0
118,6,57224,1140,0,Permanent,0,63701,14200
,,57221,1140,0,Permanent,0,0,0
,,57218,1140,0,Permanent,0,0,0
,,58305,1140,0,Permanent,1,0,0
,,57227,1140,0,Permanent,1,0,0
,,60140,2000,0,5 EA,0,0,0
119,6,57439,1140,0,Permanent,0,63702,14200
,,57436,1140,0,Permanent,0,0,0
,,57433,1140,0,Permanent,0,0,0
,,58308,1140,0,Permanent,1,0,0
,,57442,1140,0,Permanent,1,0,0
,,60140,2000,0,5 EA,0,0,0
120,6,57654,1140,0,Permanent,0,63703,14200
,,57651,1140,0,Permanent,0,0,0
,,57648,1140,0,Permanent,0,0,0
,,58311,1140,0,Permanent,1,0,0
,,57657,1140,0,Permanent,1,0,0
,,60140,2000,0,5 EA,0,0,0
121,6,58084,1140,0,Permanent,0,63704,14200
,,58081,1140,0,Permanent,0,0,0
,,58078,1140,0,Permanent,0,0,0
,,58317,1140,0,Permanent,1,0,0
,,58087,1140,0,Permanent,1,0,0
,,60140,2000,0,5 EA,0,0,0
122,6,57869,1140,0,Permanent,0,63705,14200
,,57866,1140,0,Permanent,0,0,0
,,57863,1140,0,Permanent,0,0,0
,,58314,1140,0,Permanent,1,0,0
,,57872,1140,0,Permanent,1,0,0
,,60140,2000,0,5 EA,0,0,0
123,6,58299,1140,0,Permanent,0,63706,14200
,,58296,1140,0,Permanent,0,0,0
,,58293,1140,0,Permanent,0,0,0
,,58320,1140,0,Permanent,1,0,0
,,58302,1140,0,Permanent,1,0,0
,,60140,2000,0,5 EA,0,0,0
132,3,60144,120,0,1 day,1,63505,180
,,57020,30,0,1 day,1,0,0
,,57021,30,0,1 day,1,0,0
134,3,62633,40,0,1 day,1,63506,200
,,57022,30,0,1 day,1,0,0
,,60152,130,0,1 day,1,0,0
135,6,60144,120,0,1 day,1,63507,350
,,57020,30,0,1 day,1,0,0
,,57021,30,0,1 day,1,0,0
,,57022,30,0,1 day,1,0,0
,,62633,40,0,1 day,1,0,0
,,60152,130,0,1 EA,1,0,0
10,2,60083,120,0,1 EA,0,0,0
,,60084,550,0,5 EA,0,0,0
101,3,60125,130,0,1 EA,0,0,0
,,60126,550,0,5 EA,0,0,0
,,60127,910,0,10 EA,0,0,0
1,5,60040,775,0,1 EA,1,0,0
,,60047,775,0,1 EA,1,0,0
,,60048,775,0,1 EA,1,0,0
,,60050,775,0,1 EA,1,0,0
,,60052,775,0,1 EA,1,0,0
9,2,60054,775,0,1 EA,1,0,0
,,60079,775,0,1 EA,1,0,0
2,3,60035,80,0,10 EA,1,0,0
,,60041,380,0,50 EA,1,0,0
,,60042,690,0,100 EA,1,0,0
3,3,60009,80,0,1 EA,0,0,0
,,60012,380,0,5 EA,0,0,0
,,60013,640,0,10 EA,0,0,0
4,3,60002,80,0,1 EA,0,0,0
,,60010,380,0,5 EA,0,0,0
,,60011,640,0,10 EA,0,0,0
5,4,60004,90,0,1 EA,0,0,0
,,60005,90,0,1 EA,0,0,0
,,60006,90,0,1 EA,0,0,0
,,60007,90,0,1 EA,0,0,0
6,1,60003,775,0,1 EA,0,0,0
93,1,60088,950,0,1 EA,1,0,0
8,5,60082,100,0,1 day,1,0,0
,,60008,590,0,15 days,1,0,0
,,60014,1030,0,30 days,1,0,0
,,60015,1700,0,60 days,1,0,0
,,60016,2430,0,90 days,1,0,0
7,4,62504,2300,0,Permanent,0,0,0
,,62505,2500,0,Permanent,0,0,0
,,62506,2400,0,Permanent,0,0,0
,,62507,2600,0,Permanent,0,0,0
11,1,60039,1530,0,Permanent,1,0,0
94,5,60090,1050,0,30 days,1,0,0
,,60093,1050,0,30 days,1,0,0
,,60096,1140,0,30 days,1,0,0
,,60129,1050,0,30 days,1,0,0
,,60132,1140,0,30 days,1,0,0
95,1,60089,290,0,1 EA,1,0,0
110,1,60128,1520,0,1 EA,1,0,0
12,2,62602,150,0,500 EA,0,0,0
,,62603,580,0,2500 EA,0,0,0
13,2,62600,150,0,500 EA,0,0,0
,,62601,580,0,2500 EA,0,0,0
102,2,60102,190,0,1000 EA,1,0,0
,,60103,760,0,5000 EA,1,0,0
103,2,60105,190,0,1000 EA,1,0,0
,,60106,760,0,5000 EA,1,0,0
106,2,60108,240,0,1000 EA,1,0,0
,,60109,960,0,5000 EA,1,0,0
107,2,60111,240,0,1000 EA,1,0,0
,,60112,960,0,5000 EA,1,0,0
104,2,60114,320,0,1000 EA,1,0,0
,,60115,1280,0,5000 EA,1,0,0
105,2,60117,320,0,1000 EA,1,0,0
,,60118,1280,0,5000 EA,1,0,0
108,2,60120,380,0,1000 EA,1,0,0
,,60121,1520,0,5000 EA,1,0,0
109,2,60123,380,0,1000 EA,1,0,0
,,60124,1520,0,5000 EA,1,0,0
21,3,60055,35,0,300 EA,0,0,0
,,60056,80,0,1000 EA,0,0,0
,,60067,250,0,5000 EA,0,0,0
22,3,60057,35,0,300 EA,0,0,0
,,60058,80,0,1000 EA,0,0,0
,,60068,250,0,5000 EA,0,0,0
23,3,60059,65,0,300 EA,0,0,0
,,60060,110,0,1000 EA,0,0,0
,,60069,370,0,5000 EA,0,0,0
24,3,60061,65,0,300 EA,0,0,0
,,60062,110,0,1000 EA,0,0,0
,,60070,370,0,5000 EA,0,0,0
25,2,60063,155,0,1000 EA,0,0,0
,,60064,530,0,5000 EA,0,0,0
26,2,60065,155,0,1000 EA,0,0,0
,,60066,530,0,5000 EA,0,0,0
31,3,60019,25,0,300 EA,0,0,0
,,60020,60,0,1000 EA,0,0,0
,,60031,210,0,5000 EA,0,0,0
32,3,60021,25,0,300 EA,0,0,0
,,60022,60,0,1000 EA,0,0,0
,,60032,210,0,5000 EA,0,0,0
33,3,60023,50,0,300 EA,0,0,0
,,60024,80,0,1000 EA,0,0,0
,,60033,330,0,5000 EA,0,0,0
34,3,60025,50,0,300 EA,0,0,0
,,60026,80,0,1000 EA,0,0,0
,,60034,330,0,5000 EA,0,0,0
35,2,60027,95,0,1000 EA,0,0,0
,,60028,450,0,5000 EA,0,0,0
36,2,60029,95,0,1000 EA,0,0,0
,,60030,450,0,5000 EA,0,0,0
41,3,57225,210,0,15 days,1,0,0
,,57226,380,0,30 days,1,0,0
,,57227,1140,0,Permanent,1,0,0
42,3,57440,210,0,15 days,1,0,0
,,57441,380,0,30 days,1,0,0
,,57442,1140,0,Permanent,1,0,0
