Tab,Count,ImageIndex,Name,X,Y,String,Deco
0,2,101,Alchemist's Will,0,0,104,1
0,,106,Super Mazoram Health Potion,0,0,98,1
1,9,10,Gemcraft Booster,0,0,10,2
1,,101,Alchemist's Will,0,0,104,1
1,,1,Guild of Glory A Pack,0,0,1,0
1,,9,Guild of Glory B Pack,0,0,9,0
1,,2,Portal Scroll,0,0,2,0
1,,3,Blacksmith's Talisman,0,0,3,0
1,,4,Soul of Alchemist,0,0,4,0
1,,5,Regenerator Series,0,0,5,0
1,,6,Master's Mistake,0,0,6,0
2,6,11,Traveler's Backpack,0,0,11,2
2,,8,Veteran's Amulet,0,0,8,2
2,,7,Mount Special,0,0,7,0
2,,93,Storage Mastery,0,0,93,0
2,,94,Pet Series,0,0,94,0
2,,95,Awakening Ocarina,0,0,95,0
3,22,12,Abaddon Powder,0,0,12,2
3,,13,Trieste Water,0,0,13,2
3,,102,Mazoram Health Potion,0,0,96,1
3,,103,Mazoram Mana Potion,0,0,97,1
3,,106,Super Mazoram Health Potion,0,0,98,1
3,,107,Super Mazoram Mana Potion,0,0,99,1
3,,104,Miere Health Potion,0,0,100,1
3,,105,Miere Mana Potion,0,0,101,1
3,,108,Super Miere Health Potion,0,0,102,1
3,,109,Super Miere Mana Potion,0,0,103,1
3,,21,Super Magic Health Pack,0,0,21,0
3,,22,Super Magic Mana Pack,0,0,22,0
3,,23,Super Noble Health Pack,0,0,23,0
3,,24,Super Noble Mana Pack,0,0,24,0
3,,25,Super Divine Health Potion,0,0,25,0
3,,26,Super Divine Mana Potion,0,0,26,0
3,,31,Magic Health Pack,0,0,31,0
3,,32,Magic Mana Pack,0,0,32,0
3,,33,Noble Health Pack,0,0,33,0
3,,34,Noble Mana Pack,0,0,34,0
3,,35,Divine Health Potion,0,0,35,0
3,,36,Divine Mana Potion,0,0,36,0
4,36,88,Knight's Adventure Suit,0,0,88,0
4,,89,Hunter's Adventure Suit,0,0,89,0
4,,91,Magician's Adventure Suit,0,0,91,0
4,,90,Summoner's Adventure Suit,0,0,90,0
4,,87,Segnale's Adventure Suit,0,0,87,0
4,,92,Bagi's Adventure Suit,0,0,92,0
4,,41,Knight's Formal Suit,0,0,41,0
4,,42,Hunter's Formal Outfit,0,0,42,0
4,,43,Magician's Arcane Robes,0,0,43,0
4,,44,Summoner's Occasion,0,0,44,0
4,,45,Segnale Sashay,0,0,45,0
4,,46,Bagi Compromise,0,0,46,0
4,,51,Tider Knight Set,0,0,51,0
4,,52,Floe Hunter Set,0,0,52,0
4,,53,Fallenbishop Magician Set,0,0,53,0
4,,54,Agathion Summoner Set,0,0,54,0
4,,55,Echidna Segnale Set,0,0,55,0
4,,56,Cetus Bagi Set,0,0,56,0
4,,61,Viking Hat (male),0,0,61,0
4,,62,Viking Hat (female),0,0,62,0
4,,64,Hunter Hat (male),0,0,64,0
4,,63,Hunter Hat (female),0,0,63,0
4,,65,Chiwoo Heaven King's Mask,0,0,65,0
4,,71,Knight Swimming Suit,0,0,71,0
4,,72,Hunter Swimming Suit,0,0,72,0
4,,73,Magician Swimming Suit,0,0,73,0
4,,74,Summoner Swimming Suit,0,0,74,0
4,,75,Segnale Swimming Suit,0,0,75,0
4,,76,Bagi Swimming Suit,0,0,76,0
4,,66,Eagle Chief Hat,0,0,66,0
4,,81,Blade Knight Set,0,0,81,0
4,,82,Valkyrie Hunter Set,0,0,82,0
4,,83,Lasputin Magician Set,0,0,83,0
4,,84,Desayer Summoner Set,0,0,84,0
4,,85,Succubus Segnale Set,0,0,85,0
4,,86,Frizkhan Bagi Warrior Set,0,0,86,0
5,1,113,Character Name Change,0,0,106,1
6,3,115,Beginner's Noble Package,0,0,107,1
6,,116,Beginner's Practical Package,0,0,108,1
6,,117,Expert's Practical Package,0,0,109,1
