ITEM_LEVEL,NORMAL,NORMAL_Rate,MAGIC,MAGIC_Rate,NOBLE,NOBLE_Rate,DIVIN,DIVIN_Rate,Deka_Rate,SocketStone_Rate
0,10000,100,10000,80,10000,60,10000,40,18,5
1,10000,100,10000,79,10000,50,10000,40,18,5
2,10000,100,10000,79,10000,49,10000,40,18,5
3,10000,100,10000,78,10000,49,10000,39,18,5
4,10000,100,10000,78,10000,48,10000,39,18,5
5,10000,99,10000,77,10000,48,10000,39,18,5
6,10000,98,10000,77,10000,48,10000,39,18,5
7,10000,98,10000,76,10000,47,10000,39,18,5
8,10000,97,10000,76,10000,47,10000,39,18,5
9,10000,96,10000,75,10000,47,10000,38,18,5
10,10000,95,10000,75,10000,46,10000,38,18,5
11,10000,95,10000,74,10000,46,10000,38,18,5
12,10000,94,10000,73,10000,45,10000,38,18,5
13,10000,93,10000,73,10000,45,10000,38,18,5
14,10000,93,10000,72,10000,45,10000,37,18,5
15,10000,92,10000,72,10000,44,10000,37,18,5
16,10000,91,10000,71,10000,44,10000,37,18,5
17,10000,91,10000,71,10000,43,20000,37,18,5
18,10000,90,10000,70,10000,43,20000,37,18,5
19,10000,89,10000,70,20000,43,20000,36,18,5
20,10000,89,10000,69,20000,42,20000,36,18,5
21,10000,88,10000,68,20000,42,20000,36,18,5
22,10000,87,10000,68,20000,41,30000,36,18,5
23,10000,87,10000,67,20000,41,30000,36,18,5
24,10000,86,10000,67,20000,41,30000,36,18,5
25,10000,85,20000,66,20000,40,30000,35,18,5
26,10000,85,20000,66,20000,40,40000,35,18,5
27,10000,84,20000,65,30000,40,40000,35,18,5
28,10000,83,20000,65,30000,39,40000,35,18,5
29,10000,83,20000,64,30000,39,50000,35,18,5
30,10000,82,20000,64,40000,38,50000,34,18,5
31,10000,81,30000,63,40000,38,60000,34,18,5
32,10000,80,30000,62,40000,38,70000,34,18,5
33,20000,80,30000,62,50000,37,70000,34,18,5
34,20000,79,30000,61,50000,37,80000,34,18,5
35,20000,78,40000,61,60000,36,90000,33,18,5
36,20000,78,40000,60,60000,36,100000,33,18,5
37,20000,77,40000,60,70000,36,110000,33,18,5
38,20000,76,50000,59,70000,35,120000,33,18,5
39,20000,76,50000,59,80000,35,130000,33,18,5
40,20000,75,50000,58,90000,34,140000,33,18,5
41,30000,74,60000,57,100000,34,150000,32,18,5
42,30000,74,60000,57,100000,34,160000,32,18,5
43,30000,73,70000,56,110000,33,180000,32,18,5
44,30000,72,70000,56,120000,33,190000,32,18,5
45,40000,72,80000,55,130000,33,210000,32,18,5
46,40000,71,90000,55,140000,32,220000,31,18,5
47,40000,70,90000,54,150000,32,240000,31,18,5
48,40000,70,100000,54,160000,31,260000,31,18,5
49,50000,69,110000,53,180000,31,280000,31,18,5
50,50000,68,120000,53,190000,31,300000,31,18,5
51,50000,68,120000,52,200000,30,320000,30,18,5
52,60000,67,130000,51,220000,30,340000,30,18,5
53,60000,66,140000,51,230000,29,370000,30,18,5
54,60000,65,150000,50,250000,29,400000,30,18,5
55,70000,65,160000,50,270000,29,420000,30,18,5
56,70000,64,170000,49,280000,28,450000,30,18,5
57,80000,63,180000,49,300000,28,480000,29,18,5
58,80000,63,200000,48,320000,27,510000,29,18,5
59,90000,62,210000,48,340000,27,550000,29,18,5
60,90000,61,220000,47,360000,27,580000,29,18,5
61,100000,61,230000,46,390000,26,620000,29,18,5
62,100000,60,250000,46,410000,26,650000,28,18,5
63,110000,59,260000,45,430000,26,690000,28,18,5
64,110000,59,280000,45,460000,25,740000,28,18,5
65,120000,58,290000,44,490000,25,780000,28,18,5
66,130000,57,310000,44,520000,24,820000,28,18,5
67,130000,57,330000,43,550000,24,870000,27,18,5
68,140000,56,350000,43,580000,24,920000,27,18,5
69,150000,55,370000,42,610000,23,970000,27,18,5
70,160000,55,390000,42,640000,23,1020000,27,18,5
71,170000,54,410000,41,680000,22,1080000,27,18,5
72,170000,53,430000,40,710000,22,1140000,27,18,5
73,180000,53,450000,40,750000,22,1200000,26,18,5
74,190000,52,480000,39,790000,21,1260000,26,18,5
75,200000,51,500000,39,830000,21,1320000,26,18,5
76,210000,50,520000,38,870000,20,1390000,26,18,5
77,220000,50,550000,38,910000,20,1460000,26,18,5
78,230000,49,580000,37,960000,20,1530000,25,18,5
79,250000,48,610000,37,1010000,20,1610000,25,18,5
80,260000,48,630000,36,1050000,20,1680000,25,18,5
81,270000,47,660000,35,1100000,20,1760000,25,18,5
82,280000,46,700000,35,1160000,20,1850000,25,18,5
83,290000,46,730000,34,1210000,20,1930000,24,18,5
84,310000,45,760000,34,1270000,20,2030000,24,18,5
85,320000,44,800000,33,1320000,20,2120000,24,18,5
86,340000,44,830000,33,1380000,20,2210000,24,18,5
87,350000,43,870000,32,1450000,20,2310000,24,18,5
88,370000,42,910000,32,1510000,20,2410000,24,18,5
89,380000,42,950000,31,1580000,20,2520000,23,18,5
90,400000,41,990000,31,1640000,20,2630000,23,18,5
91,420000,40,1030000,30,1710000,20,2740000,23,18,5
92,430000,40,1070000,29,1780000,20,2850000,23,18,5
93,450000,39,1120000,29,1860000,20,2970000,23,18,5
94,470000,38,1160000,28,1940000,20,3100000,22,18,5
95,490000,38,1210000,28,2020000,20,3220000,22,18,5
96,510000,37,1260000,27,2100000,20,3350000,22,18,5
97,530000,36,1310000,27,2180000,20,3490000,22,18,5
98,550000,35,1360000,26,2270000,20,3630000,22,18,5
99,570000,35,1420000,26,2360000,20,3770000,21,18,5
100,590000,34,1470000,26,2450000,20,3920000,21,18,5
101,610000,34,1530000,26,2540000,20,4070000,21,18,5
102,640000,33,1590000,25,2640000,20,4220000,21,18,5
103,660000,33,1650000,25,2740000,20,4380000,21,18,5
104,690000,32,1710000,25,2850000,20,4550000,21,18,5
105,710000,32,1770000,24,2950000,20,4710000,20,18,5
106,740000,31,1840000,24,3060000,20,4890000,20,18,5
107,760000,31,1900000,23,3170000,20,5070000,20,18,5
108,790000,31,1970000,23,3280000,20,5250000,20,18,5
109,570000,31,1420000,23,2360000,20,3770000,20,18,5
110,820000,30,2040000,22,3400000,20,5440000,20,18,5
111,850000,30,2120000,22,3520000,20,5630000,20,18,5
112,880000,30,2190000,22,3650000,20,5830000,20,18,5
113,910000,29,2270000,22,3770000,20,6030000,20,18,5
114,940000,29,2340000,22,3900000,20,6240000,20,18,5
