39317.43958,Name,Rank,Type,Code,Attribute,Description,Quality,Job,Appraisal,Value,Weight,ReqLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,Has_Durability,Can_Repair,Durability_Low,Durability_Normal,Durability_High,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Defance Min,Level 0 Defance Max,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape
1,Valor Pants,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,0,0,0,0,0,6,6,0,0,0,0,0,0,0,10001,0,0,1,0,0
10001,Valor Pants +1,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,1,0,0,0,0,8,8,0,0,0,0,0,0,1,10002,0,0,1,0,0
10002,Valor Pants +2,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,2,0,0,0,0,11,11,0,0,0,0,0,0,10001,10003,0,0,1,0,0
10003,Valor Pants +3,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,3,0,0,0,0,15,15,0,0,0,0,0,0,10002,10004,0,0,1,0,0
10004,Valor Pants +4,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,4,0,0,0,0,20,20,0,0,0,0,0,0,10003,10005,0,0,1,0,0
10005,Valor Pants +5,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,5,0,0,0,0,26,26,0,0,0,0,0,0,10004,10006,0,0,1,0,0
10006,Valor Pants +6,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,6,0,0,0,0,33,33,0,0,0,0,0,0,10005,10007,0,0,1,0,0
10007,Valor Pants +7,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,7,0,0,0,0,40,40,0,0,0,0,0,0,10006,10008,0,0,1,0,0
10008,Valor Pants +8,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,8,0,0,0,0,47,47,0,0,0,0,0,0,10007,10009,0,0,1,0,0
10009,Valor Pants +9,0,5,2,0,1282,27,1000-0000-0000-0000-0000-0000-0000-0000,1500,0,1,2,18,2,2,0,0,1,1,0,0,15,35,50,3,2,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,2003,2003,2005,2005,9,0,0,0,0,54,54,0,0,0,0,0,0,10008,0,0,0,1,0,0
