ITEM_LEVEL,NORMAL_DIL,NORMAL_Rate,MAGIC_DIL,MAGIC_Rate,NOBLE_DIL,NOBLE_Rate,DIVIN_DIL,DIVIN_Rate,Deka_Rate,SocketStone_Rate,Agate_Rate
0,8000,100,8000,80,8000,60,8000,40,70,3,6
1,8000,100,8000,80,8000,60,8000,40,70,3,6
2,8000,100,8000,80,8000,60,8000,39,70,3,6
3,8000,100,8000,80,8000,60,8000,39,70,3,6
4,8000,100,8000,80,8000,59,8000,39,70,3,6
5,8000,100,8000,80,8000,59,8000,38,70,3,6
6,8000,100,8000,79,8000,58,8000,38,70,3,6
7,8000,100,8000,79,8000,58,8000,38,70,3,6
8,8000,100,8000,78,8000,57,8000,37,70,3,6
9,8000,100,8000,78,8000,57,8000,37,70,3,6
10,8000,100,8000,77,8000,56,8000,37,70,3,6
11,8000,99,8000,76,8000,56,8000,36,70,3,6
12,8000,99,8000,76,8000,55,8000,36,70,3,6
13,8000,98,8000,75,8000,55,8000,35,70,3,6
14,8000,97,8000,74,8000,54,8000,35,70,3,6
15,8000,96,8000,74,8000,54,8000,35,70,3,6
16,8000,96,8000,73,8000,53,8000,34,70,3,6
17,8000,95,8000,73,8000,53,16000,34,70,3,6
18,8000,94,8000,72,8000,52,16000,34,70,3,6
19,8000,93,8000,71,16000,52,16000,33,70,3,6
20,8000,93,8000,71,16000,51,16000,33,70,3,6
21,8000,92,8000,70,16000,51,16000,33,70,3,6
22,8000,91,8000,69,16000,50,24000,32,70,3,6
23,8000,91,8000,69,16000,50,24000,32,70,3,6
24,8000,90,8000,68,16000,49,24000,32,70,3,6
25,8000,89,16000,68,16000,49,24000,31,70,3,6
26,8000,88,16000,67,16000,48,32000,31,70,3,6
27,8000,88,16000,66,24000,48,32000,31,70,3,6
28,8000,87,16000,66,24000,47,32000,30,70,3,6
29,8000,86,16000,65,24000,47,40000,30,70,3,6
30,8000,85,16000,64,32000,46,40000,30,70,3,6
31,8000,85,24000,64,32000,46,48000,29,70,3,6
32,8000,84,24000,63,32000,45,56000,29,70,3,6
33,16000,83,24000,63,40000,45,56000,28,70,3,6
34,16000,82,24000,62,40000,44,64000,28,70,3,6
35,16000,82,32000,61,48000,44,72000,28,70,3,6
36,16000,81,32000,61,48000,43,80000,27,70,3,6
37,16000,80,32000,60,56000,43,88000,27,70,3,6
38,16000,80,40000,59,56000,42,96000,27,70,3,6
39,16000,79,40000,59,64000,42,104000,26,70,3,6
40,16000,78,40000,58,72000,41,112000,26,70,3,6
41,24000,77,48000,58,80000,41,120000,26,70,3,6
42,24000,77,48000,57,80000,40,128000,25,70,3,6
43,24000,76,56000,56,88000,40,144000,25,70,3,6
44,24000,75,56000,56,96000,39,152000,25,70,3,6
45,32000,74,64000,55,104000,39,168000,24,70,3,6
46,32000,74,72000,54,112000,38,176000,24,70,3,6
47,32000,73,72000,54,120000,38,192000,24,70,3,6
48,32000,72,80000,53,128000,37,208000,23,70,3,6
49,40000,72,88000,53,144000,37,224000,23,70,3,6
50,40000,71,96000,52,152000,36,240000,23,70,3,6
51,40000,70,96000,51,160000,36,256000,22,70,3,6
52,48000,69,104000,51,176000,35,272000,22,70,3,6
53,48000,69,112000,50,184000,35,296000,21,70,3,6
54,48000,68,120000,49,200000,34,320000,21,70,3,6
55,56000,67,128000,49,216000,34,336000,21,70,3,6
56,56000,66,136000,48,224000,33,360000,20,70,3,6
57,64000,66,144000,48,240000,33,384000,20,70,3,6
58,64000,65,160000,47,256000,32,408000,20,70,3,6
59,72000,64,168000,46,272000,32,440000,19,70,3,6
60,72000,63,176000,46,288000,31,464000,19,70,3,6
61,80000,63,184000,45,312000,31,496000,19,70,3,6
62,80000,62,200000,44,328000,30,520000,18,70,3,6
63,88000,61,208000,44,344000,30,552000,18,70,3,6
64,88000,61,224000,43,368000,29,592000,18,70,3,6
65,96000,60,232000,43,392000,29,624000,17,70,3,6
66,104000,59,248000,42,416000,28,656000,17,70,3,6
67,104000,58,264000,41,440000,28,696000,17,70,3,6
68,112000,58,280000,41,464000,27,736000,16,70,3,6
69,120000,57,296000,40,488000,27,776000,16,70,3,6
70,128000,56,312000,39,512000,26,816000,16,70,3,6
71,136000,55,328000,39,544000,26,864000,15,70,3,6
72,136000,55,344000,38,568000,25,912000,15,70,3,6
73,144000,54,360000,38,600000,25,960000,15,70,3,6
74,152000,53,384000,37,632000,24,1008000,15,70,3,6
75,160000,53,400000,36,664000,24,1056000,15,70,3,6
76,168000,52,416000,36,696000,23,1112000,15,70,3,6
77,176000,51,440000,35,728000,23,1168000,15,70,3,6
78,184000,50,464000,34,768000,22,1224000,15,70,3,6
79,200000,50,488000,34,808000,22,1288000,15,70,3,6
80,208000,49,504000,33,840000,21,1344000,15,70,3,6
81,216000,48,528000,33,880000,21,1408000,15,70,3,6
82,224000,47,560000,32,928000,20,1480000,15,70,3,6
83,232000,47,584000,31,968000,20,1544000,15,70,3,6
84,248000,46,608000,31,1016000,19,1624000,15,70,3,6
85,256000,45,640000,30,1056000,19,1696000,15,70,3,6
86,272000,44,664000,29,1104000,18,1768000,15,70,3,6
87,280000,44,696000,29,1160000,18,1848000,15,70,3,6
88,296000,43,728000,28,1208000,17,1928000,15,70,3,6
89,304000,42,760000,28,1264000,17,2016000,15,70,3,6
90,320000,42,792000,27,1312000,16,2104000,15,70,3,6
91,336000,41,824000,26,1368000,16,2192000,15,70,3,6
92,344000,40,856000,26,1424000,15,2280000,15,70,3,6
93,360000,39,896000,25,1488000,15,2376000,15,70,3,6
94,376000,39,928000,24,1552000,15,2480000,15,70,3,6
95,392000,38,968000,24,1616000,15,2576000,15,70,3,6
96,408000,37,1008000,23,1680000,15,2680000,15,70,3,6
97,424000,36,1048000,23,1744000,15,2792000,15,70,3,6
98,440000,36,1088000,22,1816000,15,2904000,15,70,3,6
99,456000,35,1136000,21,1888000,15,3016000,15,70,3,6
100,472000,34,1176000,21,1960000,15,3136000,15,70,3,6
101,488000,34,1224000,20,2032000,15,3256000,15,70,3,6
102,512000,33,1272000,19,2112000,15,3376000,15,70,3,6
103,528000,32,1320000,19,2192000,15,3504000,15,70,3,6
104,552000,31,1368000,18,2280000,15,3640000,15,70,3,6
105,568000,31,1416000,18,2360000,15,3768000,15,70,3,6
106,592000,30,1472000,17,2448000,15,3912000,15,70,3,6
107,608000,29,1520000,16,2536000,15,4056000,15,70,3,6
108,632000,28,1576000,16,2624000,15,4200000,15,70,3,6
109,456000,28,1136000,15,1888000,15,3016000,15,70,3,6
110,656000,27,1632000,15,2720000,15,4352000,15,70,3,6
111,680000,26,1696000,15,2816000,15,4504000,15,70,3,6
112,704000,25,1752000,15,2920000,15,4664000,15,70,3,6
113,728000,25,1816000,15,3016000,15,4824000,15,70,3,6
114,752000,24,1872000,15,3120000,15,4992000,15,70,3,6
115,776000,23,1944000,15,3232000,15,5168000,15,70,3,6
116,808000,23,2008000,15,3344000,15,5344000,15,70,3,6
117,832000,22,2072000,15,3456000,15,5520000,15,70,3,6
118,856000,21,2144000,15,3568000,15,5704000,15,70,3,6
119,888000,20,2216000,15,3688000,15,5896000,15,70,3,6
120,920000,20,2288000,15,3808000,15,6088000,15,70,3,6
121,944000,19,2360000,15,3936000,15,6288000,15,70,3,6
122,976000,18,2440000,15,4056000,15,6488000,15,70,3,6
123,1008000,17,2512000,15,4192000,15,6704000,15,70,3,6
124,1040000,17,2592000,15,4320000,15,6912000,15,70,3,6
125,1072000,16,2680000,15,4464000,15,7136000,15,70,3,6
126,1104000,15,2760000,15,4600000,15,7360000,15,70,3,6
127,1144000,15,2848000,15,4744000,15,7584000,15,70,3,6
128,1176000,15,2936000,15,4888000,15,7816000,15,70,3,6
129,1216000,15,3024000,15,5040000,15,8056000,15,70,3,6
130,1248000,15,3120000,15,5192000,15,8304000,15,70,3,6
131,1288000,15,3208000,15,5344000,15,8552000,15,70,3,6
132,1328000,15,3304000,15,5504000,15,8808000,15,70,3,6
133,1368000,15,3408000,15,5672000,15,9072000,15,70,3,6
