∑π∫ß,¿Œµ¶Ω∫,≈∏¿‘,º≥∏Ì,πŒ,∏∆Ω∫
1,10001,RESIST_FIRE_ADD,Fire Resistance +%,1,1
1,10002,RESIST_ICE_ADD,Ice Resistance +%,1,1
1,10003,RESIST_LIGHTNING_ADD,Lightning Resistance +%,1,1
1,10004,RESIST_POISON_ADD,Poison Resistance +%,1,1
1,10005,RESIST_CURSE_ADD,Curse Resistance +%,1,1
1,10006,RESIST_POISON_ADD,Poison Resistance +%,1,1
1,10007,DEFENSE_MIN_ADD,Defense +,5,12
2,10021,RESIST_FIRE_ADD,Fire Resistance +%,1,2
2,10022,RESIST_ICE_ADD,Ice Resistance +%,1,2
2,10023,RESIST_LIGHTNING_ADD,Lightning Resistance +%,1,2
2,10024,RESIST_POISON_ADD,Poison Resistance +%,1,2
2,10025,RESIST_CURSE_ADD,Curse Resistance +%,1,2
2,10026,RESIST_POISON_ADD,Poison Resistance +%,1,2
2,10027,DEFENSE_MIN_ADD,Defense +,7,15
21,10401,RESIST_FIRE_ADD,Blocking Success Rate +%,1,1
21,10402,RESIST_ICE_ADD,Guard Rate +-%,1,1
21,10403,RESIST_LIGHTNING_ADD,Defeat Success Rate +%,1,1
21,10404,RESIST_POISON_ADD,Defense +,1,1
21,10405,RESIST_CURSE_ADD,Defense +,1,1
21,10406,RESIST_POISON_ADD,Poison Resist +%,1,1
21,10407,DEFENSE_MIN_ADD,Defense +,5,12
21,10408,SPEED_MOVE_MUL,Movement Speed +%,1,2
22,10421,RESIST_FIRE_ADD,Blocking Success Rate +%,1,2
22,10422,RESIST_ICE_ADD,Guard Rate +-%,1,2
22,10423,RESIST_LIGHTNING_ADD,Defeat Success Rate +%,1,2
22,10424,RESIST_POISON_ADD,Defense +,1,2
22,10425,RESIST_CURSE_ADD,Defense +,1,2
22,10426,RESIST_POISON_ADD,Poison Resist +%,1,2
22,10427,DEFENSE_MIN_ADD,Defense +,7,15
22,10428,SPEED_MOVE_MUL,Movement Speed +%,2,3
41,10801,DAMAGE_PHYSICAL_MUL,Fire Attack +%,1,1
41,10802,DAMAGE_MINPHYSICAL_ADD,Ice Attack +%,12,17
41,10803,DAMAGE_MINPHYSICAL_ADD,Lightning Attack +%,12,17
41,10804,DAMAGE_MINPHYSICAL_ADD,Poison Attack +%,12,17
