옵션레벨오,옵션 인덱스,타입,타입 설명,최소값,최대값
OptionLevel,OptionIndex,Type,Description,MinData,MaxData
2001,1,HP_MAX_ADD,최대 HP 증가,5,20
2001,2,HP_RECOVERY_ADD,HP 회복속도 증가,1,3
2001,3,MP_MAX_ADD,최대 MP 증가,5,20
2001,4,MP_RECOVERY_ADD,MP 회복속도 증가,1,3
2001,5,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2001,6,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2001,7,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2001,8,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2001,9,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2001,10,DAMAGE_MINPHYSICAL_ADD,공격력 증가,3,18
2001,11,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,3,18
2001,12,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2001,13,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2001,14,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2001,15,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2001,16,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2001,17,RATING_CRITICAL_ADD,크리티컬 성공률 증가,1,1
2001,18,DEFENSE_MIN_ADD,방어력 증가,2,15
2002,19,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2002,20,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2002,21,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2002,22,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2002,23,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2002,24,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2002,25,DEFENSE_MIN_ADD,방어력 증가,1,2
2003,26,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2003,27,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2003,28,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2003,29,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2003,30,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2003,31,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2003,32,DEFENSE_MIN_ADD,방어력 증가,2,4
2004,33,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2004,34,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2004,35,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2004,36,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2004,37,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2004,38,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2004,39,DEFENSE_MIN_ADD,방어력 증가,5,7
2005,40,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2005,41,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2005,42,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2005,43,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2005,44,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2005,45,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2005,46,DEFENSE_MIN_ADD,방어력 증가,7,9
2006,47,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2006,48,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2006,49,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2006,50,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2006,51,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2006,52,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2006,53,DEFENSE_MIN_ADD,방어력 증가,9,12
2007,54,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2007,55,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2007,56,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2007,57,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2007,58,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2007,59,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2007,60,DEFENSE_MIN_ADD,방어력 증가,12,15
2008,61,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2008,62,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2008,63,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2008,64,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2008,65,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2008,66,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2008,67,DEFENSE_MIN_ADD,방어력 증가,16,17
2009,68,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2009,69,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2009,70,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2009,71,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2009,72,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2009,73,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2009,74,DEFENSE_MIN_ADD,방어력 증가,17,18
2010,75,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2010,76,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2010,77,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2010,78,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2010,79,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2010,80,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2010,81,DEFENSE_MIN_ADD,방어력 증가,19,20
2011,82,RESIST_FIRE_ADD,파이어 저항력 증가.,1,1
2011,83,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2011,84,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2011,85,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2011,86,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2011,87,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2011,88,DEFENSE_MIN_ADD,방어력 증가,20,21
2012,89,DEFENSE_MIN_ADD,방어력 증가,1,2
2012,90,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2012,91,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2012,92,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2012,93,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2012,94,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2013,95,DEFENSE_MIN_ADD,방어력 증가,2,4
2013,96,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2013,97,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2013,98,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2013,99,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2013,100,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2014,101,DEFENSE_MIN_ADD,방어력 증가,5,7
2014,102,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2014,103,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2014,104,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2014,105,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2014,106,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2015,107,DEFENSE_MIN_ADD,방어력 증가,7,9
2015,108,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2015,109,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2015,110,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2015,111,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2015,112,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2016,113,DEFENSE_MIN_ADD,방어력 증가,9,12
2016,114,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2016,115,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2016,116,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2016,117,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2016,118,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2017,119,DEFENSE_MIN_ADD,방어력 증가,12,15
2017,120,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2017,121,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2017,122,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2017,123,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2017,124,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2018,125,DEFENSE_MIN_ADD,방어력 증가,16,17
2018,126,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2018,127,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2018,128,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2018,129,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2018,130,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2019,131,DEFENSE_MIN_ADD,방어력 증가,17,18
2019,132,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2019,133,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2019,134,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2019,135,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2019,136,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2020,137,DEFENSE_MIN_ADD,방어력 증가,19,20
2020,138,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2020,139,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2020,140,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2020,141,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2020,142,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2021,143,DEFENSE_MIN_ADD,방어력 증가,20,21
2021,144,RESIST_ICE_ADD,아이스 저항력 증가.,1,1
2021,145,RESIST_LIGHTNING_ADD,라이트닝 저항력 증가.,1,1
2021,146,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2021,147,RESIST_CURSE_ADD,커즈 저항력 증가.,1,1
2021,148,RESIST_POISON_ADD,포이즌 저항력 증가.,1,1
2022,149,DAMAGE_MINPHYSICAL_ADD,공격력 증가,1,5
2022,150,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,1,5
2022,151,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2022,152,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2022,153,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2022,154,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2022,155,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2022,156,SPEED_ATTACK_MUL,공격속도 증가,1,1
2023,157,DAMAGE_MINPHYSICAL_ADD,공격력 증가,5,12
2023,158,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,5,11
2023,159,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2023,160,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2023,161,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2023,162,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
2023,163,DAMAGERATE_CURSE_ADD,커즈 공격력 % 증가,1,1
2023,164,SPEED_ATTACK_MUL,공격속도 증가,1,1
2024,165,DAMAGE_MINPHYSICAL_ADD,공격력 증가,12,17
2024,166,DAMAGE_MINMAGICAL_ADD,마법 공격력 증가,11,15
2024,167,DAMAGERATE_FIRE_ADD,파이어 공격력 % 증가,1,1
2024,168,DAMAGERATE_ICE_ADD,아이스 공격력 % 증가,1,1
2024,169,DAMAGERATE_LIGHTNING_ADD,라이트닝 공격력 % 증가,1,1
2024,170,DAMAGERATE_POISON_ADD,포이즌 공격력 % 증가,1,1
