옵션레벨,옵션 인덱스,타입,타입 설명,최소값,최대
OptionLevel,OptionIndex,Type,Description,MinData,MaxData
1001,30001,DEFENSE_MIN_ADD,Defense +,12,15
1001,30002,DEFENSE_MIN_ADD,Defense +,12,15
1001,30003,DEFENSE_MIN_ADD,Defense +,12,15
1001,30004,RESIST_ALL_ADD,All Elemental Resistance Raised +,1,1
1001,30005,RESIST_ALL_ADD,All Elemental Resistance Raised +,1,1
1001,30006,RATING_BLOCKING_ADD,Blocking Rate +%,1,1
1002,30021,DEFENSE_MIN_ADD,Defense +,15,18
1002,30022,DEFENSE_MIN_ADD,Defense +,15,18
1002,30023,DEFENSE_MIN_ADD,Defense +,15,18
1002,30024,RESIST_ALL_ADD,All Elemental Resistance Raised +,2,2
1002,30025,RESIST_ALL_ADD,All Elemental Resistance Raised +,2,2
1002,30026,RATING_BLOCKING_ADD,Blocking Rate +%,2,2
1003,30041,DEFENSE_MIN_ADD,Defense +,19,23
1003,30042,DEFENSE_MIN_ADD,Defense +,19,23
1003,30043,DEFENSE_MIN_ADD,Defense +,19,23
1003,30044,RESIST_ALL_ADD,All Elemental Resistance Raised +,3,3
1003,30045,RESIST_ALL_ADD,All Elemental Resistance Raised +,3,3
1003,30046,RATING_BLOCKING_ADD,Blocking Rate +%,3,3
1004,30061,DEFENSE_MIN_ADD,Defense +,23,25
1004,30062,DEFENSE_MIN_ADD,Defense +,23,25
1004,30063,DEFENSE_MIN_ADD,Defense +,23,25
1004,30064,RESIST_ALL_ADD,All Elemental Resistance Raised +,3,4
1004,30065,RESIST_ALL_ADD,All Elemental Resistance Raised +,3,4
1004,30066,RATING_BLOCKING_ADD,Blocking Rate +%,3,4
1041,30801,SPEED_ATTACK_MUL,Attack Speed +%,1,1
1041,30802,RATING_CRITICAL_ADD,Critical Rate +%,1,1
1041,30803,RATING_BLOCKING_ADD,Blocking Rate +%,1,1
1041,30804,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1041,30805,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1041,30806,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1041,30807,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1041,30808,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
1041,30809,DAMAGE_MINPHYSICAL_ADD,Physical Attack +,25,35
