Index(wValue),StatusIndex,ShowEffect,EffectID,SceneID,NotifyMessage,LifeTime,Hp,Mp,HPRatio,MPRatio,Descript
1,6300,N,0,0,Used the small bait.,300000,0,0,0,0,Increases chance of catching the fish by 15% for 5 minutes
2,6301,N,0,0,Used the large bait.,300000,0,0,0,0,Increases chance of catching the fish by 25% for 5 minutes
3,6302,N,0,0,Used the worm.,300000,0,0,0,0,Increases chance of catching the fish by 35% for 5 minutes
4,6303,N,0,0,Used the lugworm.,300000,0,0,0,0,Increases chance of catching the fish by 50% for 5 minutes
5,6304,N,0,0,Used the king worm.,300000,0,0,0,0,Increases chance of catching the fish by 65% for 5 minutes
100,0,Y,0,0,HP has been increased.,10000,143,0,0,0,Recovers HP by 143.
101,0,Y,0,0,MP has been increased.,10000,0,176,0,0,Recovers MP by  176.
102,0,Y,0,0,HP has been increased.,10000,269,0,0,0,Recovers HP by  269.
103,0,Y,0,0,MP has been increased.,10000,0,358,0,0,Recovers MP by  358.
104,0,Y,0,0,HP and MP has been increased.,10000,503,503,0,0,Recovers HP and MP by  503.
105,0,Y,0,0,HP and MP has been increased.,10000,575,575,0,0,Recovers HP and MP by  575.
106,0,Y,0,0,HP has been increased.,10000,1385,0,0,0,Recovers HP by  1385.
107,6401,N,0,0,HP and MP has been increased.\HP and MP will increase for 10 seconds.,10000,0,0,50,50,Recovers HP and MP by 50% \ Recovers  HP and MP by 900
108,6402,N,0,0,HP and MP will be increased for 10 seconds.,10000,1601,1601,0,0,Recovers HP and MP by 1300 in 10 seconds
109,0,Y,0,0,HP and MP has been increased.,10000,0,0,70,70,Recovers HP/MP by 70%
110,6430,Y,0,0,HP has been increased.,10000,1511,0,0,0,Recovers HP by  593.
111,6431,Y,0,0,MP has been increased.,10000,0,1511,0,0,Recovers MP by  556.
112,0,Y,0,0,HP has been increased.,10000,719,0,0,0,Recovers HP by  719.
113,0,Y,0,0,MP has been increased.,10000,0,770,0,0,Recovers MP by  770.
114,0,Y,0,0,HP has been increased.,10000,881,881,0,0,Recovers HP/MP by 881.
115,0,Y,0,0,MP has been increased.,10000,0,853,0,0,Recovers MP by  853.
116,0,Y,0,0,HP has been increased.,10000,971,0,0,0,Recovers HP by  971.
117,6403,N,0,0,HP and MP has been increased.\HP and MP will increase for 10 seconds.,10000,0,0,25,25,Recovers HP/MP 25%\ Recovers HP and MP by 1500 in 10 seconds
118,0,Y,0,0,MP has been increased.,10000,1439,1439,0,0,Recovers MP by  1249.
119,6404,N,0,0,MP will be increased for 10 seconds.,10000,0,0,0,0,Recovers MP by 2200 in 10 seconds.
120,0,Y,0,0,HP has been increased.,10000,953,0,0,0,Recovers HP by  953.
121,0,Y,0,0,MP has been increased.,10000,1601,1601,0,0,Recovers MP by  902.
122,0,Y,0,0,HP has been increased.,10000,1025,0,0,0,Recovers HP by  1025.
123,0,Y,0,0,HP has been increased.,10000,1079,0,0,0,Recovers HP by  1079.
124,0,Y,0,0,HP and MP has been increased.,10000,1133,1133,0,0,Recovers HP/MP by 1133.
125,6405,N,0,0,HP will be increased for 10 seconds.,10000,0,0,0,0,Recovers HP by 2300 in 10 seconds.
126,0,Y,0,0,MP has been increased.,10000,0,1133,0,0,Recovers MP by  1133.,
127,0,Y,0,0,HP and MP has been increased.,10000,1313,1313,0,0,Recovers HP/MP by 1313.,
128,0,Y,0,0,HP has been increased.,10000,2842,0,0,0,Recovers HP by  2842.,
129,6406,N,0,0,HP will be increased for 10 seconds.,10000,1511,1511,0,0,Recovers HP by 3000 in 10 seconds.,
130,6432,Y,0,0,HP and Instant Defense have beeen increased.,3000,1835,0,0,0,Recovers HP by 1835\Increases Instant Defense Power by +50%,
131,6433,Y,0,0,HP has been increased and every Resistance has been increased.,3000,1835,0,0,0,Recovers HP by 1835\Instantly, increases all resistance by +50%
200,6407,Y,0,0,Attack will be increased by 5% for 10 minutes.,600000,0,0,0,0,Increase attack by 5% in 10 seconds\ Can be used until March 29,
