BrickUID,BrickIndex,Revival,RegenCycle,Direction,Location_X,Location_Y
301,35001,0,0,91,275.870,371.871
302,35002,0,0,90,372.112,339.755
303,35003,0,0,0,324.148,356.106
304,35004,0,0,90,371.933,467.907
305,35005,0,0,270,276.065,403.938
306,35006,0,0,180,324.113,420.040
307,35007,0,0,269,260.539,123.051
308,35008,0,0,180,285.409,83.692
309,35009,0,0,180,308.473,83.762
310,35010,0,0,270,339.033,118.518
311,35011,0,0,269,338.962,144.415
312,35012,0,0,0,377.994,59.113
313,35013,0,0,90,410.288,73.829
314,35013,0,0,89,391.246,122.934
