BrickUID,BrickIndex,Revival,RegenCycle,Direction,Location_X,Location_Y
302,36002,0,0,0,411.010,295.525
303,36003,0,0,90,245.541,109.001
304,36004,0,0,0,231.020,112.487
320,36020,0,0,90,402.537,137.004
314,36014,0,0,270,349.501,458.097
311,36011,0,0,90,211.489,405.900
312,36012,0,0,90,252.513,457.894
321,36012,0,0,270,240.489,458.124
313,36013,0,0,90,301.490,405.902
315,36015,0,0,0,312.047,244.529
319,36019,0,0,90,407.477,96.023
305,36005,0,0,270,247.604,115.996
306,36006,0,0,270,185.525,136.036
316,36016,0,0,90,375.509,279.003
307,36007,1,1,180,269.062,303.436
